logtime,scenario_time,type,module,address,value
565.635042,0,scenario_path,,,includes\scenarios\basic.txt
565.635411,0,seed_value,communications,,
565.635434,0,seed_output,communications,,KEM018
565.635519,0,seed_value,communications,,
565.635536,0,seed_output,communications,,OTL422
565.635603,0,seed_value,communications,,
565.635616,0,seed_output,communications,,SBN790
565.635685,0,seed_value,communications,,
565.635699,0,seed_output,communications,,PIV852
565.635767,0,seed_value,communications,,
565.63578,0,seed_output,communications,,DTW834
565.63584,0,seed_value,communications,,
565.635852,0,seed_output,communications,,LPP463
565.63591,0,seed_value,communications,,
565.635922,0,seed_output,communications,,QNZ454
565.635981,0,seed_value,communications,,
565.635993,0,seed_output,communications,,FDV753
565.636053,0,seed_value,communications,,
565.636065,0,seed_output,communications,,XVZ241
565.636089,0,seed_value,communications,,
565.636099,0,seed_output,communications,,126.064149
565.636116,0,seed_value,communications,,
565.636125,0,seed_output,communications,,131.006862
565.636141,0,seed_value,communications,,
565.636149,0,seed_output,communications,,117.39115
565.636165,0,seed_value,communications,,
565.636172,0,seed_output,communications,,114.57447
565.73273,0,version,,,1.3.0
568.102477,0,dialog,,,OpenMATB end
568.110225,0.016797,event,sysmon,scales-1-key,F8
568.953919,0.016797,dialog,,,Warning end
568.954103,0.033796,event,resman,tank-b-target,1000
568.970303,0.050021,event,track,cursorcolor,"(0, 153, 0, 255)"
568.987654,0.067349,event,communications,callsignregex,[A-Z][A-Z]\d\d
569.004232,0.083927,event,communications,othercallsignnumber,5
569.020415,0.100133,event,communications,voicegender,male
569.037199,0.116907,event,communications,voiceidiom,french
569.055195,0.133751,aoi,resman,foreground,"(576, 486.0, 1632, 0.0)"
569.055747,0.133751,aoi,resman,overdue,"(576, 486.0, 1632, 0.0)"
569.063034,0.133751,aoi,resman,task_title,"(576, 540.0, 1632, 486.0)"
569.063718,0.133751,aoi,resman,automode,"(1006.848, 309.15000000000003, 1165.248, 282.15000000000003)"
569.064433,0.133751,aoi,resman,status_foreground,"(1632, 486.0, 1920, 0.0)"
569.066904,0.133751,aoi,resman,status_title,"(1632, 540.0, 1920, 486.0)"
569.06845,0.133751,aoi,resman,pump_1_flow,"(1632, 486.0, 1920, 432.0)"
