logtime,scenario_time,type,module,address,value
642.22992,0.195424,performance,resman,a_in_tolerance,1
642.229951,0.195424,performance,resman,a_deviation,0
642.229972,0.195424,performance,resman,b_in_tolerance,0
642.229989,0.195424,performance,resman,b_deviation,1500
642.235299,0.195424,performance,track,joystick_x,0
642.235312,0.195424,performance,track,joystick_y,0
642.251661,0.21699,performance,track,joystick_x,-0.5
642.251679,0.21699,performance,track,joystick_y,0.25
642.251714,0.21699,performance,track,cursor_in_target,1
642.251736,0.21699,performance,track,center_deviation,0.0
642.280693,0.245191,performance,track,joystick_x,-0.5
642.280707,0.245191,performance,track,joystick_y,0.25
642.28073,0.245191,performance,track,cursor_in_target,1
642.280748,0.245191,performance,track,center_deviation,2.364672
642.313827,0.278532,performance,track,joystick_x,-0.5
642.313841,0.278532,performance,track,joystick_y,0.25
642.313865,0.278532,performance,track,cursor_in_target,1
642.313883,0.278532,performance,track,center_deviation,3.558216
642.349082,0.312003,performance,track,joystick_x,-0.5
642.349098,0.312003,performance,track,joystick_y,0.25
642.349124,0.312003,performance,track,cursor_in_target,1
642.349143,0.312003,performance,track,center_deviation,4.762577
642.368621,0.333513,performance,track,joystick_x,-0.5
642.36864,0.333513,performance,track,joystick_y,0.25
642.368669,0.333513,performance,track,cursor_in_target,1
642.368692,0.333513,performance,track,center_deviation,5.971106
643.102365,0.349749,performance,genericscales,Exigence mentale,50
643.102389,0.349749,performance,genericscales,Exigence physique,50
643.102404,0.349749,performance,genericscales,Exigence temporelle,50
643.102416,0.349749,performance,genericscales,Effort,50
643.102426,0.349749,performance,genericscales,Performance,50
643.102437,0.349749,performance,genericscales,Frustration,50
643.131325,0.378179,performance,track,joystick_x,-16.25
643.13134,0.378179,performance,track,joystick_y,1.25
643.131367,0.378179,performance,track,cursor_in_target,1
643.131387,0.378179,performance,track,center_deviation,7.181587
643.15259,0.399504,performance,track,joystick_x,-16.25
643.152608,0.399504,performance,track,joystick_y,1.25
643.152636,0.399504,performance,track,cursor_in_target,1
643.15266,0.399504,performance,track,center_deviation,16.082287
643.186106,0.43322,performance,track,joystick_x,-16.75
643.186122,0.43322,performance,track,joystick_y,1.25
643.186144,0.43322,performance,track,cursor_in_target,1
643.186164,0.43322,performance,track,center_deviation,30.887682
643.219137,0.466213,performance,track,joystick_x,-18.5
643.219152,0.466213,performance,track,joystick_y,1.25
643.219184,0.466213,performance,track,cursor_in_target,1
643.219203,0.466213,performance,track,center_deviation,46.715268
643.331582,0.578658,performance,track,joystick_x,-33.5
643.331596,0.578658,performance,track,joystick_y,1.25
643.331617,0.578658,performance,track,cursor_in_target,0
643.331647,0.578658,performance,track,center_deviation,64.389478
643.35267,0.599644,performance,track,joystick_x,-38.0
643.352685,0.599644,performance,track,joystick_y,1.5
643.352706,0.599644,performance,track,cursor_in_target,0
643.352724,0.599644,performance,track,center_deviation,96.842563
643.385602,0.632628,performance,track,joystick_x,-44.75
643.385621,0.632628,performance,track,joystick_y,2.0
643.385654,0.632628,performance,track,cursor_in_target,0
643.385676,0.632628,performance,track,center_deviation,133.954347
643.419478,0.666179,performance,track,joystick_x,-50.0
643.419496,0.666179,performance,track,joystick_y,2.75
643.419524,0.666179,performance,track,cursor_in_target,0
643.419546,0.666179,performance,track,center_deviation,177.906774
643.45223,0.699345,performance,track,joystick_x,-53.25
643.45225,0.699345,performance,track,joystick_y,3.25
643.452283,0.699345,performance,track,cursor_in_target,0
643.452307,0.699345,performance,track,center_deviation,196.238401
643.488513,0.73563,performance,track,joystick_x,-54.75
643.488532,0.73563,performance,track,joystick_y,3.75
643.488565,0.73563,performance,track,cursor_in_target,0
643.488589,0.73563,performance,track,center_deviation,196.852714
643.521584,0.768786,performance,track,joystick_x,-54.75
643.521602,0.768786,performance,track,joystick_y,3.75
643.521629,0.768786,performance,track,cursor_in_target,0
643.521652,0.768786,performance,track,center_deviation,197.643066
643.555105,0.802301,performance,track,joystick_x,-54.75
643.555121,0.802301,performance,track,joystick_y,3.75
643.555147,0.802301,performance,track,cursor_in_target,0
643.555167,0.802301,performance,track,center_deviation,197.781735
643.588203,0.83539,performance,track,joystick_x,-54.75
643.588218,0.83539,performance,track,joystick_y,3.75
643.588242,0.83539,performance,track,cursor_in_target,0
643.58826,0.83539,performance,track,center_deviation,199.543423
643.622034,0.868933,performance,track,joystick_x,-54.25
643.622048,0.868933,performance,track,joystick_y,2.25
643.622072,0.868933,performance,track,cursor_in_target,0
643.622088,0.868933,performance,track,center_deviation,199.900243
643.655192,0.902313,performance,track,joystick_x,-52.75
643.655208,0.902313,performance,track,joystick_y,-0.75
643.655235,0.902313,performance,track,cursor_in_target,0
643.655254,0.902313,performance,track,center_deviation,201.460536
643.685457,0.932604,performance,track,joystick_x,-50.75
643.685474,0.932604,performance,track,joystick_y,-2.75
643.685502,0.932604,performance,track,cursor_in_target,0
643.68552,0.932604,performance,track,center_deviation,199.314376
643.718877,0.965977,performance,track,joystick_x,-47.25
643.718894,0.965977,performance,track,joystick_y,-3.75
643.71892,0.965977,performance,track,cursor_in_target,0
643.718939,0.965977,performance,track,center_deviation,201.034211
643.752246,0.999266,performance,track,joystick_x,-39.75
643.752266,0.999266,performance,track,joystick_y,-3.75
643.75248,0.999266,performance,track,cursor_in_target,0
643.752503,0.999266,performance,track,center_deviation,196.189569
643.786355,1.033325,performance,track,joystick_x,-29.75
643.78637,1.033325,performance,track,joystick_y,-3.5
643.786393,1.033325,performance,track,cursor_in_target,0
643.78641,1.033325,performance,track,center_deviation,199.669133
643.819233,1.066241,performance,track,joystick_x,-21.25
643.819247,1.066241,performance,track,joystick_y,-3.5
643.819271,1.066241,performance,track,cursor_in_target,0
643.819289,1.066241,performance,track,center_deviation,188.593529
643.852317,1.09941,performance,track,joystick_x,-14.75
643.852333,1.09941,performance,track,joystick_y,-4.75
643.85236,1.09941,performance,track,cursor_in_target,0
643.852379,1.09941,performance,track,center_deviation,198.556182
643.886313,1.133322,performance,track,joystick_x,-11.25
643.886328,1.133322,performance,track,joystick_y,-7.0
643.886354,1.133322,performance,track,cursor_in_target,0
643.886372,1.133322,performance,track,center_deviation,190.671829
643.919853,1.166747,performance,track,joystick_x,-8.75
643.919868,1.166747,performance,track,joystick_y,-8.5
643.919892,1.166747,performance,track,cursor_in_target,0
643.91991,1.166747,performance,track,center_deviation,196.778791
643.952199,1.199263,performance,track,joystick_x,-6.25
643.952215,1.199263,performance,track,joystick_y,-9.5
643.952244,1.199263,performance,track,cursor_in_target,0
643.952264,1.199263,performance,track,center_deviation,192.500133
643.985452,1.232585,performance,track,joystick_x,-4.5
643.985471,1.232585,performance,track,joystick_y,-10.25
643.985502,1.232585,performance,track,cursor_in_target,0
643.985524,1.232585,performance,track,center_deviation,194.928378
644.018685,1.265924,performance,track,joystick_x,-1.75
644.0187,1.265924,performance,track,joystick_y,-10.5
644.018724,1.265924,performance,track,cursor_in_target,0
644.018742,1.265924,performance,track,center_deviation,191.946825
644.052127,1.299285,performance,track,joystick_x,4.25
644.052142,1.299285,performance,track,joystick_y,-10.25
644.05217,1.299285,performance,track,cursor_in_target,0
644.052189,1.299285,performance,track,center_deviation,192.917665
644.085853,1.332796,performance,track,joystick_x,9.75
644.085869,1.332796,performance,track,joystick_y,-10.75
644.085892,1.332796,performance,track,cursor_in_target,0
644.08591,1.332796,performance,track,center_deviation,188.36025
644.118958,1.366073,performance,track,joystick_x,15.75
644.118978,1.366073,performance,track,joystick_y,-11.0
644.119005,1.366073,performance,track,cursor_in_target,0
644.119029,1.366073,performance,track,center_deviation,178.911887
644.152345,1.399429,performance,track,joystick_x,20.5
644.15236,1.399429,performance,track,joystick_y,-11.25
644.152388,1.399429,performance,track,cursor_in_target,0
644.152407,1.399429,performance,track,center_deviation,164.333242
644.185592,1.432679,performance,track,joystick_x,24.25
644.185607,1.432679,performance,track,joystick_y,-11.25
644.185853,1.432679,performance,track,cursor_in_target,0
644.185874,1.432679,performance,track,center_deviation,146.370983
644.218697,1.465862,performance,track,joystick_x,28.0
644.218714,1.465862,performance,track,joystick_y,-10.25
644.218739,1.465862,performance,track,cursor_in_target,0
644.218758,1.465862,performance,track,center_deviation,126.842141
644.252663,1.499378,performance,track,joystick_x,32.0
644.252677,1.499378,performance,track,joystick_y,-8.0
644.252705,1.499378,performance,track,cursor_in_target,0
644.252722,1.499378,performance,track,center_deviation,106.924827
644.285461,1.53254,performance,track,joystick_x,33.75
644.285481,1.53254,performance,track,joystick_y,-6.0
644.285508,1.53254,performance,track,cursor_in_target,0
644.285527,1.53254,performance,track,center_deviation,88.555389
644.318958,1.56603,performance,track,joystick_x,34.0
644.318977,1.56603,performance,track,joystick_y,-4.5
644.319009,1.56603,performance,track,cursor_in_target,0
644.319032,1.56603,performance,track,center_deviation,78.249288
644.352317,1.599355,performance,track,joystick_x,33.75
644.352332,1.599355,performance,track,joystick_y,-2.5
644.352362,1.599355,performance,track,cursor_in_target,0
644.352382,1.599355,performance,track,center_deviation,81.271626
644.385771,1.632792,performance,track,joystick_x,31.75
644.385786,1.632792,performance,track,joystick_y,0.0
644.385817,1.632792,performance,track,cursor_in_target,0
644.385836,1.632792,performance,track,center_deviation,95.789345
644.419064,1.666081,performance,track,joystick_x,28.75
644.419079,1.666081,performance,track,joystick_y,1.5
644.419106,1.666081,performance,track,cursor_in_target,0
644.419124,1.666081,performance,track,center_deviation,115.707857
644.45226,1.699322,performance,track,joystick_x,24.25
644.452279,1.699322,performance,track,joystick_y,2.5
644.452311,1.699322,performance,track,cursor_in_target,0
644.452332,1.699322,performance,track,center_deviation,137.093774
644.485561,1.732658,performance,track,joystick_x,18.75
644.485579,1.732658,performance,track,joystick_y,3.0
644.48561,1.732658,performance,track,cursor_in_target,0
644.485632,1.732658,performance,track,center_deviation,156.664158
