logtime,scenario_time,type,module,address,value
12315.200187,0.241782,performance,track,joystick_x,0
12315.200202,0.241782,performance,track,joystick_y,0
12315.204369,0.25115,performance,track,joystick_x,0
12315.204384,0.25115,performance,track,joystick_y,0
12315.204412,0.25115,performance,track,cursor_in_target,1
12315.204433,0.25115,performance,track,center_deviation,0.0
12315.251935,0.298713,performance,track,joystick_x,0
12315.25195,0.298713,performance,track,joystick_y,0
12315.251993,0.298713,performance,track,cursor_in_target,1
12315.252022,0.298713,performance,track,center_deviation,2.429249
12315.276284,0.323102,performance,track,cursor_in_target,1
12315.276317,0.323102,performance,track,center_deviation,3.643778
12315.306899,0.353506,performance,track,cursor_in_target,1
12315.306989,0.353506,performance,track,center_deviation,3.452159
12315.344245,0.390585,performance,track,cursor_in_target,1
12315.344387,0.390585,performance,track,center_deviation,3.265686
12315.376899,0.423306,performance,track,cursor_in_target,1
12315.377034,0.423306,performance,track,center_deviation,3.08528
12315.410398,0.456799,performance,track,cursor_in_target,1
12315.410524,0.456799,performance,track,center_deviation,2.912064
12315.444024,0.490211,performance,track,cursor_in_target,1
12315.444132,0.490211,performance,track,center_deviation,2.747401
12315.476979,0.523336,performance,track,cursor_in_target,1
12315.477127,0.523336,performance,track,center_deviation,2.592937
12315.510288,0.556696,performance,track,cursor_in_target,1
12315.510422,0.556696,performance,track,center_deviation,2.450629
12315.544718,0.591086,performance,track,cursor_in_target,1
12315.544867,0.591086,performance,track,center_deviation,2.322752
12315.57691,0.623292,performance,track,cursor_in_target,1
12315.577067,0.623292,performance,track,center_deviation,2.211865
12315.610611,0.656789,performance,track,cursor_in_target,1
12315.610716,0.656789,performance,track,center_deviation,2.120703
12315.642118,0.688736,performance,track,cursor_in_target,1
12315.642222,0.688736,performance,track,center_deviation,2.051982
12315.672144,0.718953,performance,track,cursor_in_target,1
12315.672194,0.718953,performance,track,center_deviation,2.577745
12315.710393,0.756801,performance,track,cursor_in_target,1
12315.710531,0.756801,performance,track,center_deviation,2.382599
12315.744679,0.791042,performance,track,cursor_in_target,1
12315.744824,0.791042,performance,track,center_deviation,2.194798
12315.777019,0.823228,performance,track,cursor_in_target,1
12315.777151,0.823228,performance,track,center_deviation,2.016517
12315.810584,0.856969,performance,track,cursor_in_target,1
12315.810723,0.856969,performance,track,center_deviation,1.850659
12315.843669,0.890059,performance,track,cursor_in_target,1
12315.843818,0.890059,performance,track,center_deviation,1.701041
12315.875652,0.922266,performance,track,cursor_in_target,1
12315.875771,0.922266,performance,track,center_deviation,1.572518
12315.910229,0.956649,performance,track,cursor_in_target,1
12315.910374,0.956649,performance,track,center_deviation,1.470876
12315.944952,0.991083,performance,track,cursor_in_target,1
12315.945083,0.991083,performance,track,center_deviation,1.402253
12315.976566,1.022968,performance,track,cursor_in_target,1
12315.97671,1.022968,performance,track,center_deviation,2.086322
12316.010212,1.056632,performance,track,cursor_in_target,1
12316.010351,1.056632,performance,track,center_deviation,1.862688
12316.043594,1.089982,performance,track,cursor_in_target,1
12316.043732,1.089982,performance,track,center_deviation,1.64299
12316.076816,1.123215,performance,track,cursor_in_target,1
12316.076955,1.123215,performance,track,center_deviation,1.429378
12316.110416,1.156632,performance,track,cursor_in_target,1
12316.110523,1.156632,performance,track,center_deviation,1.22545
12316.145292,1.191654,performance,track,cursor_in_target,1
12316.145442,1.191654,performance,track,center_deviation,1.037454
12316.176836,1.22323,performance,track,cursor_in_target,1
12316.177098,1.22323,performance,track,center_deviation,0.876359
12316.210229,1.256643,performance,track,cursor_in_target,1
12316.210371,1.256643,performance,track,center_deviation,0.760272
12316.243642,1.290024,performance,track,cursor_in_target,1
12316.24378,1.290024,performance,track,center_deviation,0.712463
12316.277075,1.323258,performance,track,cursor_in_target,1
12316.27734,1.323258,performance,track,center_deviation,1.654145
12316.310224,1.356638,performance,track,cursor_in_target,1
12316.310363,1.356638,performance,track,center_deviation,1.405658
12316.344516,1.390849,performance,track,cursor_in_target,1
12316.344663,1.390849,performance,track,center_deviation,1.156159
12316.376779,1.423158,performance,track,cursor_in_target,1
12316.376944,1.423158,performance,track,center_deviation,0.905617
12316.410192,1.456585,performance,track,cursor_in_target,1
12316.410327,1.456585,performance,track,center_deviation,0.654004
12316.443776,1.489986,performance,track,cursor_in_target,1
12316.443898,1.489986,performance,track,center_deviation,0.401295
12316.476763,1.523151,performance,track,cursor_in_target,1
12316.476917,1.523151,performance,track,center_deviation,0.147537
12316.510114,1.556532,performance,track,cursor_in_target,1
12316.510252,1.556532,performance,track,center_deviation,0.10795
12316.544594,1.590837,performance,track,cursor_in_target,1
12316.544734,1.590837,performance,track,center_deviation,2.502087
12316.57682,1.623097,performance,track,cursor_in_target,1
12316.576961,1.623097,performance,track,center_deviation,2.274909
12316.610376,1.656552,performance,track,cursor_in_target,1
12316.610505,1.656552,performance,track,center_deviation,2.053289
12316.64366,1.689977,performance,track,cursor_in_target,1
12316.643804,1.689977,performance,track,center_deviation,1.839738
12316.676864,1.72319,performance,track,cursor_in_target,1
12316.676998,1.72319,performance,track,center_deviation,1.638001
12316.710165,1.756495,performance,track,cursor_in_target,1
12316.7103,1.756495,performance,track,center_deviation,1.453697
12316.744431,1.790718,performance,track,cursor_in_target,1
12316.744582,1.790718,performance,track,center_deviation,1.295097
12316.776959,1.823058,performance,track,cursor_in_target,1
12316.777101,1.823058,performance,track,center_deviation,1.173599
12316.810352,1.856691,performance,track,cursor_in_target,1
12316.810487,1.856691,performance,track,center_deviation,2.026102
12316.843612,1.889907,performance,track,cursor_in_target,1
12316.843752,1.889907,performance,track,center_deviation,1.760573
12316.876796,1.923069,performance,track,cursor_in_target,1
12316.876944,1.923069,performance,track,center_deviation,1.494423
12316.910326,1.956642,performance,track,cursor_in_target,1
12316.910463,1.956642,performance,track,center_deviation,1.228239
12316.944985,1.991079,performance,track,cursor_in_target,1
12316.94514,1.991079,performance,track,center_deviation,0.963299
12316.976387,2.02271,performance,track,cursor_in_target,1
12316.976526,2.02271,performance,track,center_deviation,0.70287
12317.010443,2.056738,performance,track,cursor_in_target,1
12317.010554,2.056738,performance,track,center_deviation,0.457725
12317.043767,2.090057,performance,track,cursor_in_target,1
12317.043904,2.090057,performance,track,center_deviation,0.277838
12317.076827,2.12313,performance,track,cursor_in_target,1
12317.076962,2.12313,performance,track,center_deviation,1.732738
12317.110394,2.156566,performance,track,cursor_in_target,1
12317.110524,2.156566,performance,track,center_deviation,1.471711
12317.144259,2.190387,performance,track,cursor_in_target,1
12317.144453,2.190387,performance,track,center_deviation,1.219085
12317.176875,2.223256,performance,track,cursor_in_target,1
12317.177028,2.223256,performance,track,center_deviation,2.027053
12317.211759,2.256588,performance,track,cursor_in_target,1
12317.211816,2.256588,performance,track,center_deviation,1.800334
12317.243575,2.28995,performance,track,cursor_in_target,1
12317.24372,2.28995,performance,track,center_deviation,1.591142
12317.276796,2.322926,performance,track,cursor_in_target,1
12317.2769,2.322926,performance,track,center_deviation,1.408479
12317.310047,2.356445,performance,track,cursor_in_target,1
12317.310188,2.356445,performance,track,center_deviation,1.265236
12317.343707,2.389982,performance,track,cursor_in_target,1
12317.343886,2.389982,performance,track,center_deviation,2.005459
