logtime,scenario_time,type,module,address,value
6950.143815,0.248935,performance,resman,a_response_time,0
6950.143898,0.248935,performance,resman,a_in_tolerance,1
6950.143977,0.248935,performance,resman,b_response_time,0
6950.144041,0.248935,performance,resman,b_in_tolerance,1
6950.249733,0.351756,performance,resman,a_response_time,0
6950.24976,0.351756,performance,resman,a_in_tolerance,1
6950.249801,0.351756,performance,resman,b_response_time,0
6950.24982,0.351756,performance,resman,b_in_tolerance,1
6950.351702,0.456613,performance,resman,a_response_time,0
6950.351858,0.456613,performance,resman,a_in_tolerance,1
6950.351981,0.456613,performance,resman,b_response_time,0
6950.352059,0.456613,performance,resman,b_in_tolerance,1
6950.451722,0.556703,performance,resman,a_response_time,0
6950.451842,0.556703,performance,resman,a_in_tolerance,1
6950.451927,0.556703,performance,resman,b_response_time,0
6950.451962,0.556703,performance,resman,b_in_tolerance,1
6950.568208,0.673163,performance,resman,a_response_time,0
6950.568345,0.673163,performance,resman,a_in_tolerance,1
6950.568474,0.673163,performance,resman,b_response_time,0
6950.568527,0.673163,performance,resman,b_in_tolerance,1
6950.684791,0.789684,performance,resman,a_response_time,0
6950.684957,0.789684,performance,resman,a_in_tolerance,1
6950.685077,0.789684,performance,resman,b_response_time,0
6950.685129,0.789684,performance,resman,b_in_tolerance,1
6950.784793,0.889722,performance,resman,a_response_time,0
6950.784957,0.889722,performance,resman,a_in_tolerance,1
6950.785081,0.889722,performance,resman,b_response_time,0
6950.785135,0.889722,performance,resman,b_in_tolerance,1
6950.901312,1.006214,performance,resman,a_response_time,0
6950.901461,1.006214,performance,resman,a_in_tolerance,1
6950.901573,1.006214,performance,resman,b_response_time,0
6950.901618,1.006214,performance,resman,b_in_tolerance,1
6951.001591,1.106317,performance,resman,a_response_time,0
6951.001742,1.106317,performance,resman,a_in_tolerance,1
6951.001861,1.106317,performance,resman,b_response_time,0
6951.001909,1.106317,performance,resman,b_in_tolerance,1
6951.118201,1.223163,performance,resman,a_response_time,0
6951.118355,1.223163,performance,resman,a_in_tolerance,1
6951.118474,1.223163,performance,resman,b_response_time,0
6951.11853,1.223163,performance,resman,b_in_tolerance,1
6951.235417,1.340346,performance,resman,a_response_time,0
6951.235575,1.340346,performance,resman,a_in_tolerance,1
6951.235697,1.340346,performance,resman,b_response_time,0
6951.23575,1.340346,performance,resman,b_in_tolerance,1
6951.35116,1.456136,performance,resman,a_response_time,0
6951.35127,1.456136,performance,resman,a_in_tolerance,1
6951.351356,1.456136,performance,resman,b_response_time,0
6951.351407,1.456136,performance,resman,b_in_tolerance,1
6951.451545,1.556518,performance,resman,a_response_time,0
6951.45168,1.556518,performance,resman,a_in_tolerance,1
6951.451797,1.556518,performance,resman,b_response_time,0
6951.451849,1.556518,performance,resman,b_in_tolerance,1
6951.568063,1.672993,performance,resman,a_response_time,0
6951.568209,1.672993,performance,resman,a_in_tolerance,1
6951.568294,1.672993,performance,resman,b_response_time,0
6951.568331,1.672993,performance,resman,b_in_tolerance,1
6951.684537,1.789544,performance,resman,a_response_time,0
6951.684641,1.789544,performance,resman,a_in_tolerance,1
6951.684736,1.789544,performance,resman,b_response_time,0
6951.68478,1.789544,performance,resman,b_in_tolerance,1
6951.784855,1.889724,performance,resman,a_response_time,0
6951.785,1.889724,performance,resman,a_in_tolerance,1
6951.785122,1.889724,performance,resman,b_response_time,0
6951.785174,1.889724,performance,resman,b_in_tolerance,1
6951.901291,2.006198,performance,resman,a_response_time,0
6951.901453,2.006198,performance,resman,a_in_tolerance,1
6951.901573,2.006198,performance,resman,b_response_time,0
6951.901628,2.006198,performance,resman,b_in_tolerance,1
6952.017872,2.122817,performance,resman,a_response_time,0
6952.018042,2.122817,performance,resman,a_in_tolerance,1
