joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_HIT,signal_detection_NONE,signal_detection_MISS
-27.75,18.25,1.478425,1,1,-7,1,-7,0,0,0,0,0,0,0,0,7,5,3,7,0,0,0,1,0
-27.75,18.5,1.394005,1,1,-8,1,-8,0,0,0,0,0,0,0,0,6,4,4,6,0,0,0,1,0
-27.75,18.5,33.928261,1,1,-9,1,-9,0,0,0,0,0,0,0,0,5,3,3,7,0,0,0,1,0
-26.0,23.25,67.165683,0,1,-10,1,-10,0,0,0,0,0,0,0,0,4,4,4,6,0,0,0,1,0
-18.75,22.0,100.407203,0,1,-11,1,-11,0,0,0,0,0,0,0,0,5,3,3,7,0,0,0,1,0
-14.75,19.5,135.12764,0,1,-12,1,-12,0,0,0,0,0,0,0,0,4,4,4,6,0,0,0,1,0
-10.25,12.0,163.581592,0,1,-13,1,-13,0,0,0,0,0,0,0,0,3,3,5,5,0,0,0,1,0
-10.0,11.75,187.601047,0,1,-14,1,-14,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,1,0
5.0,1.25,203.35035,0,1,-15,1,-15,0,0,0,0,0,0,0,0,5,5,3,5,0,0,0,1,0
0,0,218.786559,0,1,-16,1,-16,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,1,0
5.0,1.25,216.239267,0,1,-17,1,-17,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,1,0
5.0,1.0,213.8396,0,1,-18,1,-18,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,1,0
5.0,1.0,211.404585,0,1,-19,1,-19,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,1,0
5.0,1.0,209.118176,0,1,-20,1,-20,0,0,0,0,0,0,0,0,4,6,4,6,0,0,0,1,0
3.25,-3.25,206.985233,0,1,-21,1,-21,0,0,0,0,0,0,0,0,5,7,5,5,0,0,0,1,0
3.0,-3.25,202.67829,0,1,-22,1,-22,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,1,0
3.0,-3.25,198.537498,0,1,-23,1,-23,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,1,0
3.0,-3.25,194.409172,0,1,-24,1,-24,0,0,0,0,0,0,0,0,4,4,6,4,0,0,0,1,0
2.75,-3.25,190.29411,0,1,-25,1,-25,0,0,0,0,0,0,0,0,5,5,7,5,0,0,0,1,0
2.75,-3.25,186.3394,0,1,-26,1,-26,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,1,0
2.75,-3.25,182.396201,0,1,-27,1,-27,0,0,0,0,0,0,0,0,7,5,5,3,0,0,0,1,0
2.75,-3.25,178.465266,0,1,-28,1,-28,0,0,0,0,0,0,0,0,6,4,4,4,0,0,0,1,0
2.75,-3.25,174.54741,0,1,-29,1,-29,0,0,0,0,0,0,0,0,5,3,5,5,0,0,0,1,0
0.5,-3.25,170.643525,0,1,-30,1,-30,0,0,0,0,0,0,0,0,6,4,6,4,0,0,0,1,0
-1.5,-4.5,167.999343,0,1,-31,1,-31,0,0,0,0,0,0,0,0,7,3,5,3,0,0,0,1,0
-1.5,-4.5,165.453703,0,1,-32,1,-32,0,0,0,0,0,0,0,0,6,4,4,4,0,0,0,1,0
-1.5,-4.5,162.949925,0,1,-33,1,-33,0,0,0,0,0,0,0,0,5,5,3,5,0,0,0,1,0
-1.5,-4.5,160.490038,0,1,-34,1,-34,0,0,0,0,0,0,0,0,6,4,4,4,0,0,0,1,0
-1.25,-4.5,158.076162,0,1,-35,1,-35,0,0,0,0,0,0,0,0,5,5,5,3,0,0,0,1,0
3.75,-5.25,155.554268,0,1,-36,1,-36,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,1,0
3.75,-5.25,149.347563,0,1,-37,1,-37,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,1,0
3.75,-5.25,143.145145,0,1,-38,1,-38,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,1,0
3.75,-5.25,136.947632,0,1,-39,1,-39,0,0,0,0,0,0,0,0,5,3,5,5,0,0,0,1,0
3.75,-5.25,130.755756,0,1,-40,1,-40,0,0,0,0,0,0,0,0,6,4,6,4,0,0,0,1,0
3.75,-5.25,124.5704,0,1,-41,1,-41,0,0,0,0,0,0,0,0,5,5,7,5,0,0,0,1,0
1.5,-5.25,118.392629,0,1,-42,1,-42,0,0,0,0,0,0,0,0,4,4,6,6,0,0,0,1,0
0.75,-5.25,113.552878,0,1,-43,1,-43,0,0,0,0,0,0,0,0,3,3,7,7,0,0,0,1,0
0.5,-5.25,109.171763,0,1,-44,1,-44,0,0,0,0,0,0,0,0,4,4,6,6,0,0,0,1,0
