logtime,scenario_time,type,module,address,value
10657.883568,0.243949,performance,track,joystick_x,0
10657.883582,0.243949,performance,track,joystick_y,0
10657.888404,0.256213,performance,track,joystick_x,0
10657.888434,0.256213,performance,track,joystick_y,0
10657.888484,0.256213,performance,track,cursor_in_target,1
10657.888522,0.256213,performance,track,center_deviation,0.0
10657.991259,0.359204,performance,track,cursor_in_target,1
10657.991382,0.359204,performance,track,center_deviation,2.429249
10658.105603,0.473574,performance,track,cursor_in_target,1
10658.105796,0.473574,performance,track,center_deviation,2.239034
10658.205833,0.573797,performance,track,cursor_in_target,1
10658.205989,0.573797,performance,track,center_deviation,2.05737
10658.322602,0.69057,performance,track,cursor_in_target,1
10658.322741,0.69057,performance,track,center_deviation,1.886721
10658.439108,0.807069,performance,track,cursor_in_target,1
10658.439299,0.807069,performance,track,center_deviation,1.730356
10658.555615,0.92359,performance,track,cursor_in_target,1
10658.555806,0.92359,performance,track,center_deviation,1.592513
10658.656253,1.024089,performance,track,joystick_x,-39.75
10658.656289,1.024089,performance,track,joystick_y,-2.25
10658.656351,1.024089,performance,track,cursor_in_target,1
10658.656395,1.024089,performance,track,center_deviation,1.478425
10658.772328,1.140061,performance,track,joystick_x,-39.75
10658.772377,1.140061,performance,track,joystick_y,-2.25
10658.772464,1.140061,performance,track,cursor_in_target,1
10658.772523,1.140061,performance,track,center_deviation,38.754229
10658.872419,1.240212,performance,track,joystick_x,-39.75
10658.872471,1.240212,performance,track,joystick_y,-2.25
10658.872557,1.240212,performance,track,cursor_in_target,0
10658.87262,1.240212,performance,track,center_deviation,77.736111
10658.988866,1.356655,performance,track,joystick_x,-39.75
10658.988903,1.356655,performance,track,joystick_y,-2.25
10658.988974,1.356655,performance,track,cursor_in_target,0
10658.989043,1.356655,performance,track,center_deviation,116.72734
10659.088953,1.456664,performance,track,joystick_x,-23.75
10659.089001,1.456664,performance,track,joystick_y,-1.75
10659.089088,1.456664,performance,track,cursor_in_target,0
10659.089152,1.456664,performance,track,center_deviation,155.721069
10659.205675,1.573433,performance,track,joystick_x,-20.5
10659.205724,1.573433,performance,track,joystick_y,-1.75
10659.205807,1.573433,performance,track,cursor_in_target,0
10659.205877,1.573433,performance,track,center_deviation,178.708349
10659.32198,1.689758,performance,track,joystick_x,2.0
10659.322026,1.689758,performance,track,joystick_y,-3.0
10659.322122,1.689758,performance,track,cursor_in_target,0
10659.322184,1.689758,performance,track,center_deviation,194.476427
10659.422327,1.790126,performance,track,joystick_x,2.0
10659.422376,1.790126,performance,track,joystick_y,-3.0
10659.422456,1.790126,performance,track,cursor_in_target,0
