logtime,scenario_time,type_attribute,module,address,value
118606.968449,1.023608,input,track,joystick_x,0
118606.96855,1.023608,input,track,joystick_y,0
118606.968601,1.023608,performance,track,joystick_x,0
118606.968635,1.023608,performance,track,joystick_y,0
118606.968691,1.023608,performance,track,cursor_in_target,1
118606.968732,1.023608,performance,track,center_deviation,1.478425
118607.001641,1.057027,performance,sysmon,event_occured,0
118607.002281,1.057027,state,sysmon,scale1,7
118607.002336,1.057027,state,sysmon,scale2,5
118607.00238,1.057027,state,sysmon,scale3,5
118607.002425,1.057027,state,sysmon,scale4,5
118607.03534,1.090413,performance,resman,a_in_tolerance,1
118607.035383,1.090413,performance,resman,a_deviation,-8
118607.03546,1.090413,performance,resman,b_in_tolerance,1
118607.035496,1.090413,performance,resman,b_deviation,-8
118607.068475,1.12376,input,track,joystick_x,0
118607.068577,1.12376,input,track,joystick_y,0
118607.068627,1.12376,performance,track,joystick_x,0
118607.068662,1.12376,performance,track,joystick_y,0
118607.068718,1.12376,performance,track,cursor_in_target,1
118607.068761,1.12376,performance,track,center_deviation,2.592937
118607.117901,1.17337,performance,sysmon,event_occured,0
118607.118498,1.17337,state,sysmon,scale1,6
118607.118552,1.17337,state,sysmon,scale2,4
118607.118597,1.17337,state,sysmon,scale3,4
118607.118639,1.17337,state,sysmon,scale4,6
118607.151853,1.206877,performance,resman,a_in_tolerance,1
118607.151955,1.206877,performance,resman,a_deviation,-9
118607.152057,1.206877,performance,resman,b_in_tolerance,1
118607.152091,1.206877,performance,resman,b_deviation,-9
118607.185166,1.24039,input,track,joystick_x,0
118607.185267,1.24039,input,track,joystick_y,0
118607.185316,1.24039,performance,track,joystick_x,0
118607.185353,1.24039,performance,track,joystick_y,0
118607.185409,1.24039,performance,track,cursor_in_target,1
118607.185453,1.24039,performance,track,center_deviation,3.768595
118607.218145,1.273657,performance,sysmon,event_occured,0
118607.218746,1.273657,state,sysmon,scale1,5
118607.218801,1.273657,state,sysmon,scale2,3
118607.218847,1.273657,state,sysmon,scale3,3
118607.21889,1.273657,state,sysmon,scale4,7
118607.252232,1.307056,performance,resman,a_in_tolerance,1
118607.252276,1.307056,performance,resman,a_deviation,-10
118607.252355,1.307056,performance,resman,b_in_tolerance,1
118607.252389,1.307056,performance,resman,b_deviation,-10
118607.285304,1.340514,input,track,joystick_x,0
118607.285406,1.340514,input,track,joystick_y,0
118607.285455,1.340514,performance,track,joystick_x,0
118607.285489,1.340514,performance,track,joystick_y,0
118607.285546,1.340514,performance,track,cursor_in_target,1
118607.285587,1.340514,performance,track,center_deviation,4.961835
118607.318207,1.373674,performance,sysmon,event_occured,0
118607.31885,1.373674,state,sysmon,scale1,6
118607.318911,1.373674,state,sysmon,scale2,4
118607.318983,1.373674,state,sysmon,scale3,4
118607.319048,1.373674,state,sysmon,scale4,6
118607.368567,1.423687,performance,resman,a_in_tolerance,1
118607.368606,1.423687,performance,resman,a_deviation,-11
118607.368676,1.423687,performance,resman,b_in_tolerance,1
118607.368708,1.423687,performance,resman,b_deviation,-11
118607.40159,1.456795,input,track,joystick_x,0
118607.401694,1.456795,input,track,joystick_y,0
118607.401745,1.456795,performance,track,joystick_x,0
118607.401779,1.456795,performance,track,joystick_y,0
118607.401836,1.456795,performance,track,cursor_in_target,1
118607.401878,1.456795,performance,track,center_deviation,6.162188
118607.434898,1.490344,performance,sysmon,event_occured,0
118607.435491,1.490344,state,sysmon,scale1,5
118607.435547,1.490344,state,sysmon,scale2,5
118607.435591,1.490344,state,sysmon,scale3,5
118607.435633,1.490344,state,sysmon,scale4,5
118607.485246,1.540302,performance,resman,a_in_tolerance,1
118607.485289,1.540302,performance,resman,a_deviation,-12
118607.485369,1.540302,performance,resman,b_in_tolerance,1
118607.485403,1.540302,performance,resman,b_deviation,-12
118607.501958,1.557168,input,track,joystick_x,0
118607.50206,1.557168,input,track,joystick_y,0
118607.50211,1.557168,performance,track,joystick_x,0
118607.502144,1.557168,performance,track,joystick_y,0
118607.502201,1.557168,performance,track,cursor_in_target,1
118607.502243,1.557168,performance,track,center_deviation,7.365932
118607.551672,1.607062,performance,sysmon,event_occured,0
118607.552307,1.607062,state,sysmon,scale1,4
118607.552361,1.607062,state,sysmon,scale2,4
118607.552405,1.607062,state,sysmon,scale3,6
118607.552449,1.607062,state,sysmon,scale4,4
118607.601905,1.656949,performance,resman,a_in_tolerance,1
118607.60195,1.656949,performance,resman,a_deviation,-13
118607.602022,1.656949,performance,resman,b_in_tolerance,1
118607.602054,1.656949,performance,resman,b_deviation,-13
118607.618382,1.673623,input,track,joystick_x,0
118607.618486,1.673623,input,track,joystick_y,0
118607.618594,1.673623,performance,track,joystick_x,0
118607.618632,1.673623,performance,track,joystick_y,0
118607.618691,1.673623,performance,track,cursor_in_target,1
118607.618734,1.673623,performance,track,center_deviation,8.571404
118607.666896,1.722568,performance,sysmon,event_occured,0
118607.667512,1.722568,state,sysmon,scale1,5
118607.667621,1.722568,state,sysmon,scale2,5
118607.667667,1.722568,state,sysmon,scale3,5
118607.667707,1.722568,state,sysmon,scale4,3
118607.718579,1.773564,performance,resman,a_in_tolerance,1
118607.718622,1.773564,performance,resman,a_deviation,-14
118607.7187,1.773564,performance,resman,b_in_tolerance,1
118607.718734,1.773564,performance,resman,b_deviation,-14
118607.73438,1.789655,input,track,joystick_x,0
118607.734477,1.789655,input,track,joystick_y,0
118607.734525,1.789655,performance,track,joystick_x,0
118607.734556,1.789655,performance,track,joystick_y,0
118607.734609,1.789655,performance,track,cursor_in_target,1
118607.734647,1.789655,performance,track,center_deviation,9.777743
118607.767759,1.823103,performance,sysmon,event_occured,0
118607.768405,1.823103,state,sysmon,scale1,6
118607.768461,1.823103,state,sysmon,scale2,6
118607.768505,1.823103,state,sysmon,scale3,4
118607.768548,1.823103,state,sysmon,scale4,4
118607.835252,1.890398,input,track,joystick_x,0
118607.835359,1.890398,input,track,joystick_y,0
118607.835413,1.890398,performance,track,joystick_x,0
118607.835454,1.890398,performance,track,joystick_y,0
118607.835539,1.890398,performance,track,cursor_in_target,1
118607.835606,1.890398,performance,track,center_deviation,10.984447
118607.836153,1.890398,performance,resman,a_in_tolerance,1
118607.836189,1.890398,performance,resman,a_deviation,-15
118607.836258,1.890398,performance,resman,b_in_tolerance,1
118607.836289,1.890398,performance,resman,b_deviation,-15
118607.884299,1.939625,performance,sysmon,event_occured,0
118607.884926,1.939625,state,sysmon,scale1,5
118607.884984,1.939625,state,sysmon,scale2,5
118607.885032,1.939625,state,sysmon,scale3,5
118607.885074,1.939625,state,sysmon,scale4,5
118607.959093,2.013107,input,track,joystick_x,0
118607.959163,2.013107,input,track,joystick_y,0
118607.959209,2.013107,performance,track,joystick_x,0
118607.959242,2.013107,performance,track,joystick_y,0
118607.959297,2.013107,performance,track,cursor_in_target,1
118607.959336,2.013107,performance,track,center_deviation,12.1912
118607.959775,2.013107,performance,resman,a_in_tolerance,1
118607.959809,2.013107,performance,resman,a_deviation,-16
118607.959879,2.013107,performance,resman,b_in_tolerance,1
118607.959911,2.013107,performance,resman,b_deviation,-16
118607.984614,2.040068,performance,sysmon,event_occured,0
118607.985192,2.040068,state,sysmon,scale1,4
118607.985245,2.040068,state,sysmon,scale2,6
118607.985287,2.040068,state,sysmon,scale3,4
