joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_FA,signal_detection_HIT,signal_detection_MISS
0,0,1.478425,1,1,-8,1,-8,0,0,0,0,0,0,0,0,7,5,5,5,0,0,1,0,0,0
0,0,2.592937,1,1,-9,1,-9,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0,0
0,0,3.768595,1,1,-10,1,-10,0,0,0,0,0,0,0,0,5,3,3,7,0,0,1,0,0,0
0,0,4.961835,1,1,-11,1,-11,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0,0
0,0,6.162188,1,1,-12,1,-12,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
0,0,7.365932,1,1,-13,1,-13,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0,0
0,0,8.571404,1,1,-14,1,-14,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0,0
0,0,9.777743,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0,0
0,0,10.984447,1,1,-15,1,-15,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
0,0,12.1912,1,1,-16,1,-16,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0,0
0,0,13.397783,1,1,-17,1,-17,0,0,0,0,0,0,0,0,3,5,5,3,0,0,1,0,0,0
0,0,14.60404,1,1,-18,1,-18,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0,0
0,0,15.80985,1,1,-19,1,-19,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
0,0,17.015114,1,1,-20,1,-20,0,0,0,0,0,0,0,0,6,6,6,4,0,0,1,0,0,0
0,0,18.219751,1,1,-21,1,-21,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0,0
0,0,19.423691,1,1,-22,1,-22,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,20.62687,1,1,-23,1,-23,0,0,0,0,0,0,0,0,5,3,7,3,0,0,1,0,0,0
0,0,21.829231,1,1,-24,1,-24,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,23.030721,1,1,-25,1,-25,0,0,0,0,0,0,0,0,7,5,7,3,0,0,1,0,0,0
0,0,24.231289,1,1,-26,1,-26,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,25.430887,1,1,-27,1,-27,0,0,0,0,0,0,0,0,7,3,5,3,0,0,1,0,0,0
0,0,26.62947,1,1,-28,1,-28,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,27.826993,1,1,-29,1,-29,0,0,0,0,0,0,0,0,7,5,7,3,0,0,1,0,0,0
0,0,29.023413,1,1,-30,1,-30,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,30.218687,1,1,-31,1,-31,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0,0
0,0,31.412774,1,1,-32,1,-32,0,0,0,0,0,0,0,0,4,4,4,6,0,0,1,0,0,0
0,0,32.605632,1,1,-33,1,-33,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0,0
0,0,33.797221,1,1,-34,1,-34,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0,0
0,0,34.987502,1,1,-35,1,-35,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,0,0,0
0,0,36.176434,1,1,-36,1,-36,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0,0
0,0,37.363978,1,1,-37,1,-37,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0,0
0,0,38.550095,1,1,-38,1,-38,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,39.734747,1,1,-39,1,-39,0,0,0,0,0,0,0,0,7,3,7,3,0,0,1,0,0,0
0,0,40.917895,1,1,-40,1,-40,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0,0
0,0,42.0995,1,1,-41,1,-41,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0,0
-0.5,-1.5,43.279525,1,1,-42,1,-42,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0,0
-0.75,-2.5,42.98049,1,1,-43,1,-43,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,0,0,0
-1.25,-4.0,41.767048,1,1,-44,1,-44,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0,0
-1.5,-4.0,39.141231,1,1,-45,1,-45,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
-1.5,-4.0,36.414503,1,1,-46,1,-46,0,0,0,0,0,0,0,0,4,6,6,6,0,0,1,0,0,0
-1.5,-4.0,33.76748,1,1,-47,1,-47,0,0,0,0,0,0,0,0,3,5,7,7,0,0,1,0,0,0
-1.5,-4.0,31.220938,1,1,-48,1,-48,0,0,0,0,0,0,0,0,4,6,6,6,0,0,1,0,0,0
-1.5,-4.0,28.802093,1,1,-49,1,-49,0,0,0,0,0,0,0,0,5,7,5,7,0,0,1,0,0,0
-1.5,-4.0,26.546493,1,1,-50,1,-50,0,0,0,0,0,0,0,0,6,6,4,6,0,0,1,0,0,0
-1.75,-3.0,24.499956,1,1,-51,1,-51,0,0,0,0,0,0,0,0,7,7,5,7,0,0,1,0,0,0
-2.0,-2.75,22.795579,1,1,-52,1,-52,0,0,0,0,0,0,0,0,6,6,4,6,0,0,1,0,0,0
-2.0,-2.75,21.036436,1,1,-53,1,-53,0,0,0,0,0,0,0,0,5,7,5,5,0,0,1,0,0,0
-2.0,-2.5,19.376531,1,1,-54,1,-54,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0,0
-2.0,-2.5,17.874459,1,1,-55,1,-55,0,0,0,0,0,0,0,0,5,7,7,3,0,0,1,0,0,0
