joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_HIT,signal_detection_MISS
0,0,1.394005,1,1,-8,1,-8,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
0,0,2.450629,1,1,-9,1,-9,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
0,0,3.60659,1,1,-10,1,-10,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
0,0,4.79018,1,1,-11,1,-11,0,0,0,0,0,0,0,0,5,5,3,7,0,0,1,0,0
0,0,5.984735,1,1,-12,1,-12,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
0,0,7.184518,1,1,-13,1,-13,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
0,0,8.387032,1,1,-14,1,-14,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0
0,0,9.591007,1,1,-15,1,-15,0,0,0,0,0,0,0,0,3,5,5,3,0,0,1,0,0
0,0,10.795725,1,1,-16,1,-16,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0
0,0,12.000738,1,1,-17,1,-17,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
0,0,13.205749,1,1,-18,1,-18,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
0,0,14.410547,1,1,-19,1,-19,0,0,0,0,0,0,0,0,5,5,3,5,0,0,1,0,0
0,0,15.614975,1,1,-20,1,-20,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0
0,0,16.81891,1,1,-21,1,-21,0,0,0,0,0,0,0,0,3,7,3,5,0,0,1,0,0
-2.5,-7.0,18.022252,1,1,-22,1,-22,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0
-3.25,-8.25,12.341526,1,1,-23,1,-23,0,0,0,0,0,0,0,0,5,7,5,3,0,0,1,0,0
-5.25,-11.25,6.712909,1,1,-24,1,-24,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
-5.25,-11.25,9.583906,1,1,-25,1,-25,0,0,0,0,0,0,0,0,7,5,3,3,0,0,1,0,0
-5.75,-11.25,19.802015,1,1,-26,1,-26,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
-5.75,-11.0,30.870483,1,1,-27,1,-27,0,0,0,0,0,0,0,0,7,7,3,5,0,0,1,0,0
-5.5,-3.25,41.91464,1,1,-28,1,-28,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
-2.5,1.0,45.691355,1,1,-29,1,-29,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0
-0.25,4.0,44.616593,1,1,-30,1,-30,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0
0.0,4.5,39.969112,1,1,-31,1,-31,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0
0.0,4.5,34.845221,1,1,-32,1,-32,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
0.0,4.5,29.84554,1,1,-33,1,-33,0,0,0,0,0,0,0,0,5,5,3,5,0,0,1,0,0
0.0,4.5,25.043833,1,1,-34,1,-34,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0
0.0,4.5,20.578217,1,1,-35,1,-35,0,0,0,0,0,0,0,0,5,3,3,5,0,0,1,0,0
0.0,4.25,16.718993,1,1,-36,1,-36,0,0,0,0,0,0,0,0,4,4,4,6,0,0,1,0,0
0.0,1.25,14.033839,1,1,-37,1,-37,0,0,0,0,0,0,0,0,3,5,3,5,0,0,1,0,0
0.25,0.75,12.920302,1,1,-38,1,-38,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0
0.25,0.5,11.862162,1,1,-39,1,-39,0,0,0,0,0,0,0,0,3,5,5,3,0,0,1,0,0
0.25,0.5,11.001878,1,1,-40,1,-40,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0
0.25,0.25,10.362312,1,1,-41,1,-41,0,0,0,0,0,0,0,0,3,5,5,5,0,0,1,0,0
0.25,0.25,9.870431,1,1,-42,1,-42,0,0,0,0,0,0,0,0,4,6,6,6,0,0,1,0,0
0.25,0.25,9.600497,1,1,-43,1,-43,0,0,0,0,0,0,0,0,5,7,5,5,0,0,1,0,0
0.25,0.25,9.570517,1,1,-44,1,-44,0,0,0,0,0,0,0,0,6,6,6,4,0,0,1,0,0
0.25,0.25,9.781906,1,1,-45,1,-45,0,0,0,0,0,0,0,0,5,7,7,5,0,0,1,0,0
0.25,0.25,10.218917,1,1,-46,1,-46,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,0,0
