logtime,scenario_time,type,module,address,value
247574.732202,0,scenario_path,,,includes/scenarios/scenario_hard_1.txt
247574.734516,0,version,,,1.3.0
247575.799102,0,dialog,,,OpenMATB end
247575.814489,0.017172,event,sysmon,feedbacks-positive-color,"(0, 255, 0, 255)"
247575.915993,0.017172,dialog,,,Warning end
247575.916461,0.034447,event,sysmon,feedbacks-negative-color,"(255, 0, 0, 255)"
247575.932322,0.050297,event,track,cursorcolor,"(0, 153, 0, 255)"
247575.950787,0.067094,aoi,resman,foreground,"(576, 486.0, 1632, 0.0)"
247575.951793,0.067094,aoi,resman,overdue,"(576, 486.0, 1632, 0.0)"
247575.969745,0.067094,aoi,resman,task_title,"(576, 540.0, 1632, 486.0)"
247575.971335,0.067094,aoi,resman,automode,"(1006.848, 309.15000000000003, 1165.248, 282.15000000000003)"
247575.972454,0.067094,aoi,resman,status_foreground,"(1632, 486.0, 1920, 0.0)"
247575.977195,0.067094,aoi,resman,status_title,"(1632, 540.0, 1920, 486.0)"
247575.983275,0.067094,aoi,resman,pump_1_flow,"(1632, 486.0, 1920, 432.0)"
247575.986932,0.067094,aoi,resman,pump_2_flow,"(1632, 432.00000000000006, 1920, 378.00000000000006)"
247575.990201,0.067094,aoi,resman,pump_3_flow,"(1632, 378.00000000000006, 1920, 324.00000000000006)"
247576.012972,0.067094,aoi,resman,pump_4_flow,"(1632, 324.0, 1920, 270.0)"
247576.016237,0.067094,aoi,resman,pump_5_flow,"(1632, 270.0, 1920, 216.0)"
247576.018307,0.067094,aoi,resman,pump_6_flow,"(1632, 216.00000000000003, 1920, 162.00000000000003)"
247576.019813,0.067094,aoi,resman,pump_7_flow,"(1632, 161.99999999999997, 1920, 107.99999999999997)"
247576.021342,0.067094,aoi,resman,pump_8_flow,"(1632, 107.99999999999999, 1920, 53.999999999999986)"
247576.023109,0.067094,aoi,resman,tank_a,"(723.84, 437.4, 882.24, 267.3)"
247576.024903,0.067094,aoi,resman,tank_b,"(1251.8400000000001, 437.4, 1410.2400000000002, 267.3)"
247576.026372,0.067094,aoi,resman,tank_c,"(628.8, 243.0, 734.4, 72.89999999999999)"
247576.028112,0.067094,aoi,resman,tank_d,"(1156.8000000000002, 243.0, 1262.4, 72.89999999999999)"
247576.029142,0.067094,aoi,resman,tank_e,"(892.8, 243.0, 1019.52, 72.89999999999999)"
247576.030439,0.067094,aoi,resman,tank_f,"(1420.8000000000002, 243.0, 1547.5200000000002, 72.89999999999999)"
247576.03815,0.067094,parameter,resman,title,Resources management
247576.038194,0.067094,parameter,resman,taskplacement,bottommid
247576.038212,0.067094,parameter,resman,taskupdatetime,100
247576.038231,0.067094,parameter,resman,taskfeedback-overdue-active,0
247576.038248,0.067094,parameter,resman,taskfeedback-overdue-color,"(241, 100, 100, 255)"
247576.038267,0.067094,parameter,resman,taskfeedback-overdue-delayms,2000
247576.038282,0.067094,parameter,resman,taskfeedback-overdue-blinkdurationms,1000
247576.038297,0.067094,parameter,resman,taskfeedback-overdue-_nexttoggletime,0
247576.038315,0.067094,parameter,resman,taskfeedback-overdue-_is_visible,0
247576.038331,0.067094,parameter,resman,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7f75607c7fa0>
247576.038359,0.067094,parameter,resman,automaticsolver,0
247576.038374,0.067094,parameter,resman,displayautomationstate,1
247576.038388,0.067094,parameter,resman,pumpcoloroff,"(255, 255, 255, 255)"
247576.038403,0.067094,parameter,resman,pumpcoloron,"(142, 219, 176, 255)"
247576.038419,0.067094,parameter,resman,pumpcolorfailure,"(241, 100, 100, 255)"
247576.038435,0.067094,parameter,resman,toleranceradius,250
