logtime,scenario_time,type_attribute,module,address,value
250534.731037,1.02091,performance,resman,a_in_tolerance,1
250534.731081,1.02091,performance,resman,a_deviation,-8
250534.731159,1.02091,performance,resman,b_in_tolerance,1
250534.731195,1.02091,performance,resman,b_deviation,-8
250534.732732,1.02091,input,track,joystick_x,0
250534.732789,1.02091,input,track,joystick_y,0
250534.732836,1.02091,performance,track,joystick_x,0
250534.73287,1.02091,performance,track,joystick_y,0
250534.732928,1.02091,performance,track,cursor_in_target,1
250534.732968,1.02091,performance,track,center_deviation,1.394005
250534.797729,1.087433,performance,sysmon,event_occured,0
250534.798435,1.087433,state,sysmon,scale1,6
250534.79849,1.087433,state,sysmon,scale2,4
250534.798538,1.087433,state,sysmon,scale3,4
250534.798586,1.087433,state,sysmon,scale4,6
250534.84781,1.137578,performance,resman,a_in_tolerance,1
250534.847859,1.137578,performance,resman,a_deviation,-9
250534.847942,1.137578,performance,resman,b_in_tolerance,1
250534.84798,1.137578,performance,resman,b_deviation,-9
250534.849505,1.137578,input,track,joystick_x,0
250534.849563,1.137578,input,track,joystick_y,0
250534.849608,1.137578,performance,track,joystick_x,0
250534.849641,1.137578,performance,track,joystick_y,0
250534.849695,1.137578,performance,track,cursor_in_target,1
250534.849735,1.137578,performance,track,center_deviation,2.450629
250534.914363,1.204088,performance,sysmon,event_occured,0
250534.915068,1.204088,state,sysmon,scale1,5
250534.915124,1.204088,state,sysmon,scale2,5
250534.915167,1.204088,state,sysmon,scale3,3
250534.915209,1.204088,state,sysmon,scale4,7
250534.964338,1.254224,performance,resman,a_in_tolerance,1
250534.964385,1.254224,performance,resman,a_deviation,-10
250534.964466,1.254224,performance,resman,b_in_tolerance,1
250534.964501,1.254224,performance,resman,b_deviation,-10
250534.965985,1.254224,input,track,joystick_x,0
250534.966044,1.254224,input,track,joystick_y,0
250534.966092,1.254224,performance,track,joystick_x,0
250534.966126,1.254224,performance,track,joystick_y,0
250534.966182,1.254224,performance,track,cursor_in_target,1
250534.966224,1.254224,performance,track,center_deviation,3.60659
250535.01579,1.305407,performance,sysmon,event_occured,0
250535.016629,1.305407,state,sysmon,scale1,6
250535.016692,1.305407,state,sysmon,scale2,4
250535.016743,1.305407,state,sysmon,scale3,4
250535.016789,1.305407,state,sysmon,scale4,6
250535.065164,1.355034,performance,resman,a_in_tolerance,1
250535.065209,1.355034,performance,resman,a_deviation,-11
250535.065291,1.355034,performance,resman,b_in_tolerance,1
250535.065327,1.355034,performance,resman,b_deviation,-11
250535.066909,1.355034,input,track,joystick_x,0
250535.066965,1.355034,input,track,joystick_y,0
250535.067013,1.355034,performance,track,joystick_x,0
250535.067046,1.355034,performance,track,joystick_y,0
250535.067159,1.355034,performance,track,cursor_in_target,1
250535.067202,1.355034,performance,track,center_deviation,4.79018
250535.131226,1.420871,performance,sysmon,event_occured,0
250535.131966,1.420871,state,sysmon,scale1,7
250535.132061,1.420871,state,sysmon,scale2,3
250535.132108,1.420871,state,sysmon,scale3,5
250535.13215,1.420871,state,sysmon,scale4,5
250535.180976,1.470778,performance,resman,a_in_tolerance,1
250535.181019,1.470778,performance,resman,a_deviation,-12
250535.181098,1.470778,performance,resman,b_in_tolerance,1
250535.181132,1.470778,performance,resman,b_deviation,-12
250535.182663,1.470778,input,track,joystick_x,0
250535.182721,1.470778,input,track,joystick_y,0
250535.182768,1.470778,performance,track,joystick_x,0
250535.182802,1.470778,performance,track,joystick_y,0
250535.182858,1.470778,performance,track,cursor_in_target,1
250535.1829,1.470778,performance,track,center_deviation,5.984735
250535.247847,1.537507,performance,sysmon,event_occured,0
250535.248613,1.537507,state,sysmon,scale1,6
250535.248667,1.537507,state,sysmon,scale2,4
250535.248712,1.537507,state,sysmon,scale3,6
250535.248754,1.537507,state,sysmon,scale4,4
250535.281119,1.570937,performance,resman,a_in_tolerance,1
250535.281167,1.570937,performance,resman,a_deviation,-13
250535.281248,1.570937,performance,resman,b_in_tolerance,1
250535.281283,1.570937,performance,resman,b_deviation,-13
250535.282806,1.570937,input,track,joystick_x,0
250535.282863,1.570937,input,track,joystick_y,0
250535.282909,1.570937,performance,track,joystick_x,0
250535.282942,1.570937,performance,track,joystick_y,0
250535.282998,1.570937,performance,track,cursor_in_target,1
250535.28304,1.570937,performance,track,center_deviation,7.184518
250535.347926,1.637614,performance,sysmon,event_occured,0
250535.348717,1.637614,state,sysmon,scale1,5
250535.348772,1.637614,state,sysmon,scale2,5
250535.348817,1.637614,state,sysmon,scale3,5
250535.348861,1.637614,state,sysmon,scale4,3
250535.397602,1.687447,performance,resman,a_in_tolerance,1
250535.397646,1.687447,performance,resman,a_deviation,-14
250535.397723,1.687447,performance,resman,b_in_tolerance,1
250535.397758,1.687447,performance,resman,b_deviation,-14
250535.39925,1.687447,input,track,joystick_x,5.25
250535.399309,1.687447,input,track,joystick_y,-6.0
250535.399369,1.687447,performance,track,joystick_x,5.25
250535.399419,1.687447,performance,track,joystick_y,-6.0
250535.399497,1.687447,performance,track,cursor_in_target,1
250535.39956,1.687447,performance,track,center_deviation,8.387032
250535.448186,1.737633,performance,sysmon,event_occured,0
250535.448884,1.737633,state,sysmon,scale1,4
250535.448939,1.737633,state,sysmon,scale2,4
250535.448983,1.737633,state,sysmon,scale3,6
250535.449025,1.737633,state,sysmon,scale4,4
250535.497686,1.787539,performance,resman,a_in_tolerance,1
250535.497733,1.787539,performance,resman,a_deviation,-15
250535.497817,1.787539,performance,resman,b_in_tolerance,1
250535.497853,1.787539,performance,resman,b_deviation,-15
250535.499363,1.787539,input,track,joystick_x,5.25
250535.499424,1.787539,input,track,joystick_y,-6.0
250535.499474,1.787539,performance,track,joystick_x,5.25
250535.499509,1.787539,performance,track,joystick_y,-6.0
250535.499564,1.787539,performance,track,cursor_in_target,1
250535.499604,1.787539,performance,track,center_deviation,10.847278
250535.564512,1.854172,performance,sysmon,event_occured,0
250535.565198,1.854172,state,sysmon,scale1,3
250535.565253,1.854172,state,sysmon,scale2,3
250535.565298,1.854172,state,sysmon,scale3,5
250535.565339,1.854172,state,sysmon,scale4,5
250535.615287,1.9052,performance,resman,a_in_tolerance,1
250535.615335,1.9052,performance,resman,a_deviation,-16
250535.615417,1.9052,performance,resman,b_in_tolerance,1
250535.615454,1.9052,performance,resman,b_deviation,-16
250535.616968,1.9052,input,track,joystick_x,5.5
250535.617028,1.9052,input,track,joystick_y,-6.25
250535.617079,1.9052,performance,track,joystick_x,5.5
250535.617115,1.9052,performance,track,joystick_y,-6.25
250535.617172,1.9052,performance,track,cursor_in_target,1
250535.617213,1.9052,performance,track,center_deviation,17.000399
250535.681094,1.970751,performance,sysmon,event_occured,0
250535.681793,1.970751,state,sysmon,scale1,4
250535.681849,1.970751,state,sysmon,scale2,4
250535.681894,1.970751,state,sysmon,scale3,6
250535.681936,1.970751,state,sysmon,scale4,6
250535.731033,2.020862,performance,resman,a_in_tolerance,1
250535.731078,2.020862,performance,resman,a_deviation,-17
250535.731155,2.020862,performance,resman,b_in_tolerance,1
250535.731189,2.020862,performance,resman,b_deviation,-17
250535.732737,2.020862,input,track,joystick_x,5.5
250535.732796,2.020862,input,track,joystick_y,-7.25
250535.732845,2.020862,performance,track,joystick_x,5.5
250535.732881,2.020862,performance,track,joystick_y,-7.25
250535.732937,2.020862,performance,track,cursor_in_target,1
250535.732978,2.020862,performance,track,center_deviation,24.494992
250535.781225,2.070879,performance,sysmon,event_occured,0
250535.781928,2.070879,state,sysmon,scale1,5
250535.781982,2.070879,state,sysmon,scale2,5
250535.782025,2.070879,state,sysmon,scale3,5
250535.782067,2.070879,state,sysmon,scale4,5
250535.847634,2.137534,performance,resman,a_in_tolerance,1
250535.847684,2.137534,performance,resman,a_deviation,-18
250535.847763,2.137534,performance,resman,b_in_tolerance,1
250535.847798,2.137534,performance,resman,b_deviation,-18
250535.849343,2.137534,input,track,joystick_x,5.5
250535.849402,2.137534,input,track,joystick_y,-7.25
250535.849453,2.137534,performance,track,joystick_x,5.5
250535.849489,2.137534,performance,track,joystick_y,-7.25
250535.849544,2.137534,performance,track,cursor_in_target,1
