logtime,scenario_time,type,module,address,value
254223.726767,0,scenario_path,,,includes/scenarios/scenario_easy_1.txt
254223.729483,0,version,,,1.3.0
254225.433117,0,dialog,,,OpenMATB end
254225.44726,0.016939,event,sysmon,feedbacks-positive-color,"(0, 255, 0, 255)"
254229.315379,0.016939,dialog,,,Warning end
254229.315809,0.033897,event,sysmon,feedbacks-negative-color,"(255, 0, 0, 255)"
254229.332291,0.050229,event,track,cursorcolor,"(0, 153, 0, 255)"
254229.350589,0.066915,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
254229.351581,0.066915,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
254229.367636,0.066915,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
254229.368986,0.066915,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
254229.372715,0.066915,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
254229.377876,0.066915,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
254229.381488,0.066915,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
254229.384712,0.066915,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
254229.408208,0.066915,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
254229.410748,0.066915,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
254229.410822,0.066915,parameter,sysmon,title,System monitoring
254229.410856,0.066915,parameter,sysmon,taskplacement,topleft
254229.410887,0.066915,parameter,sysmon,taskupdatetime,100
254229.410917,0.066915,parameter,sysmon,taskfeedback-overdue-active,0
254229.410944,0.066915,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
254229.410972,0.066915,parameter,sysmon,taskfeedback-overdue-delayms,2000
254229.410996,0.066915,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
254229.411021,0.066915,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
254229.411046,0.066915,parameter,sysmon,taskfeedback-overdue-_is_visible,0
254229.411071,0.066915,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7f79f20ae520>
254229.411109,0.066915,parameter,sysmon,alerttimeout,10000
254229.411132,0.066915,parameter,sysmon,automaticsolver,0
254229.411153,0.066915,parameter,sysmon,automaticsolverdelay,1000
254229.411175,0.066915,parameter,sysmon,displayautomationstate,1
254229.411196,0.066915,parameter,sysmon,allowanykey,0
254229.411217,0.066915,parameter,sysmon,feedbackduration,1500
254229.411243,0.066915,parameter,sysmon,feedbacks-positive-active,1
254229.411265,0.066915,parameter,sysmon,feedbacks-positive-color,"(0, 255, 0, 255)"
254229.411289,0.066915,parameter,sysmon,feedbacks-negative-active,1
254229.411312,0.066915,parameter,sysmon,feedbacks-negative-color,"(255, 0, 0, 255)"
254229.411339,0.066915,parameter,sysmon,lights-1-name,5
254229.411361,0.066915,parameter,sysmon,lights-1-failure,0
254229.411382,0.066915,parameter,sysmon,lights-1-default,on
254229.411404,0.066915,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
254229.411427,0.066915,parameter,sysmon,lights-1-key,_5
254229.411448,0.066915,parameter,sysmon,lights-1-on,1
254229.411471,0.066915,parameter,sysmon,lights-1-_failuretimer,
254229.411493,0.066915,parameter,sysmon,lights-1-_onfailure,0
254229.411515,0.066915,parameter,sysmon,lights-1-_milliresponsetime,0
254229.411537,0.066915,parameter,sysmon,lights-1-_freezetimer,
254229.411558,0.066915,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x7f79f213db50>
254229.411585,0.066915,parameter,sysmon,lights-2-name,6
254229.411606,0.066915,parameter,sysmon,lights-2-failure,0
254229.411627,0.066915,parameter,sysmon,lights-2-default,off
254229.411648,0.066915,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
254229.411671,0.066915,parameter,sysmon,lights-2-key,_6
254229.411692,0.066915,parameter,sysmon,lights-2-on,0
254229.411713,0.066915,parameter,sysmon,lights-2-_failuretimer,
254229.411736,0.066915,parameter,sysmon,lights-2-_onfailure,0
254229.411758,0.066915,parameter,sysmon,lights-2-_milliresponsetime,0
254229.41178,0.066915,parameter,sysmon,lights-2-_freezetimer,
254229.411801,0.066915,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x7f79f20b77c0>
254229.411828,0.066915,parameter,sysmon,scales-1-name,1
254229.411849,0.066915,parameter,sysmon,scales-1-failure,0
254229.411871,0.066915,parameter,sysmon,scales-1-side,0
254229.411892,0.066915,parameter,sysmon,scales-1-key,_1
254229.411913,0.066915,parameter,sysmon,scales-1-_failuretimer,
254229.411934,0.066915,parameter,sysmon,scales-1-_onfailure,0
254229.411957,0.066915,parameter,sysmon,scales-1-_milliresponsetime,0
254229.411979,0.066915,parameter,sysmon,scales-1-_freezetimer,
254229.412,0.066915,parameter,sysmon,scales-1-_pos,5
254229.412051,0.066915,parameter,sysmon,scales-1-_zone,0
254229.412073,0.066915,parameter,sysmon,scales-1-_feedbacktimer,
254229.412094,0.066915,parameter,sysmon,scales-1-_feedbacktype,
254229.412116,0.066915,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x7f79f20c7370>
254229.412142,0.066915,parameter,sysmon,scales-2-name,2
254229.412163,0.066915,parameter,sysmon,scales-2-failure,0
254229.412185,0.066915,parameter,sysmon,scales-2-side,0
254229.412208,0.066915,parameter,sysmon,scales-2-key,_2
254229.41223,0.066915,parameter,sysmon,scales-2-_failuretimer,
254229.412251,0.066915,parameter,sysmon,scales-2-_onfailure,0
254229.412273,0.066915,parameter,sysmon,scales-2-_milliresponsetime,0
254229.412295,0.066915,parameter,sysmon,scales-2-_freezetimer,
254229.412318,0.066915,parameter,sysmon,scales-2-_pos,5
254229.412342,0.066915,parameter,sysmon,scales-2-_zone,0
254229.412366,0.066915,parameter,sysmon,scales-2-_feedbacktimer,
254229.41239,0.066915,parameter,sysmon,scales-2-_feedbacktype,
254229.412413,0.066915,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x7f79f20b7e80>
254229.412443,0.066915,parameter,sysmon,scales-3-name,3
254229.412466,0.066915,parameter,sysmon,scales-3-failure,0
254229.41249,0.066915,parameter,sysmon,scales-3-side,0
254229.412514,0.066915,parameter,sysmon,scales-3-key,_3
254229.412537,0.066915,parameter,sysmon,scales-3-_failuretimer,
254229.41256,0.066915,parameter,sysmon,scales-3-_onfailure,0
254229.412584,0.066915,parameter,sysmon,scales-3-_milliresponsetime,0
254229.412608,0.066915,parameter,sysmon,scales-3-_freezetimer,
254229.412631,0.066915,parameter,sysmon,scales-3-_pos,5
254229.412655,0.066915,parameter,sysmon,scales-3-_zone,0
254229.412676,0.066915,parameter,sysmon,scales-3-_feedbacktimer,
254229.412697,0.066915,parameter,sysmon,scales-3-_feedbacktype,
254229.412721,0.066915,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x7f79f20b55b0>
254229.412746,0.066915,parameter,sysmon,scales-4-name,4
254229.412767,0.066915,parameter,sysmon,scales-4-failure,0
254229.41279,0.066915,parameter,sysmon,scales-4-side,0
254229.412811,0.066915,parameter,sysmon,scales-4-key,_4
254229.412842,0.066915,parameter,sysmon,scales-4-_failuretimer,
254229.412874,0.066915,parameter,sysmon,scales-4-_onfailure,0
254229.412896,0.066915,parameter,sysmon,scales-4-_milliresponsetime,0
254229.412917,0.066915,parameter,sysmon,scales-4-_freezetimer,
254229.412938,0.066915,parameter,sysmon,scales-4-_pos,5
254229.412959,0.066915,parameter,sysmon,scales-4-_zone,0
254229.41298,0.066915,parameter,sysmon,scales-4-_feedbacktimer,
254229.413001,0.066915,parameter,sysmon,scales-4-_feedbacktype,
254229.413022,0.066915,parameter,sysmon,scales-4-widget,<core.widgets.scale.Scale object at 0x7f79f20b7970>
254229.416118,0.066915,state,sysmon,"foreground, visibility",1
254229.416366,0.066915,state,sysmon,"overdue, visibility",1
254229.420034,0.066915,event,sysmon,self,start
254229.422271,0.140462,performance,sysmon,event_occured,0
254229.422427,0.140462,seed_value,sysmon,,
254229.422456,0.140462,seed_output,sysmon,,-1
254229.422517,0.140462,seed_value,sysmon,,
254229.422552,0.140462,seed_output,sysmon,,-1
254229.422595,0.140462,seed_value,sysmon,,
254229.422624,0.140462,seed_output,sysmon,,1
254229.422676,0.140462,seed_value,sysmon,,
254229.422707,0.140462,seed_output,sysmon,,-1
254229.4228,0.140462,state,sysmon,"foreground, visibility",0
254229.424485,0.140462,state,sysmon,"automode, text",MANUAL
254229.424551,0.140462,state,sysmon,"overdue, visibility",0
254229.42461,0.140462,state,sysmon,"scale1, arrow",4
254229.424647,0.140462,state,sysmon,"scale2, arrow",4
254229.424679,0.140462,state,sysmon,"scale3, arrow",6
254229.424743,0.140462,state,sysmon,"scale4, arrow",4
254229.425396,0.140462,aoi,resman,foreground,"(576, 486.0, 1632, 0.0)"
254229.425798,0.140462,aoi,resman,overdue,"(576, 486.0, 1632, 0.0)"
254229.428615,0.140462,aoi,resman,task_title,"(576, 540.0, 1632, 486.0)"
254229.429194,0.140462,aoi,resman,automode,"(1006.848, 309.15000000000003, 1165.248, 282.15000000000003)"
