logtime,scenario_time,type_attribute,module,address,value
254760.980574,1.070588,performance,sysmon,event_occured,0
254760.981253,1.070588,state,sysmon,scale1,6
254760.981311,1.070588,state,sysmon,scale2,4
254760.981357,1.070588,state,sysmon,scale3,6
254760.981399,1.070588,state,sysmon,scale4,4
254760.981503,1.070588,input,track,joystick_x,-0.5
254760.981565,1.070588,input,track,joystick_y,-7.75
254760.981616,1.070588,performance,track,joystick_x,-0.5
254760.98165,1.070588,performance,track,joystick_y,-7.75
254760.981713,1.070588,performance,track,cursor_in_target,1
254760.981755,1.070588,performance,track,center_deviation,1.394005
254760.982965,1.070588,performance,resman,a_in_tolerance,1
254760.983003,1.070588,performance,resman,a_deviation,-8
254760.983078,1.070588,performance,resman,b_in_tolerance,1
254760.983112,1.070588,performance,resman,b_deviation,-8
254761.097709,1.187713,performance,sysmon,event_occured,0
254761.098368,1.187713,state,sysmon,scale1,7
254761.098427,1.187713,state,sysmon,scale2,5
254761.098473,1.187713,state,sysmon,scale3,5
254761.098517,1.187713,state,sysmon,scale4,3
254761.098615,1.187713,input,track,joystick_x,-0.5
254761.098674,1.187713,input,track,joystick_y,-7.75
254761.098723,1.187713,performance,track,joystick_x,-0.5
254761.098758,1.187713,performance,track,joystick_y,-7.75
254761.098813,1.187713,performance,track,cursor_in_target,1
254761.098855,1.187713,performance,track,center_deviation,5.431251
254761.099337,1.187713,performance,resman,a_in_tolerance,1
254761.099375,1.187713,performance,resman,a_deviation,-9
254761.099448,1.187713,performance,resman,b_in_tolerance,1
254761.099482,1.187713,performance,resman,b_deviation,-9
254761.213697,1.303699,performance,sysmon,event_occured,0
254761.214372,1.303699,state,sysmon,scale1,6
254761.214427,1.303699,state,sysmon,scale2,6
254761.214472,1.303699,state,sysmon,scale3,4
254761.214514,1.303699,state,sysmon,scale4,4
254761.214618,1.303699,input,track,joystick_x,-0.5
254761.214679,1.303699,input,track,joystick_y,-7.75
254761.214729,1.303699,performance,track,joystick_x,-0.5
254761.214765,1.303699,performance,track,joystick_y,-7.75
254761.214824,1.303699,performance,track,cursor_in_target,1
254761.214866,1.303699,performance,track,center_deviation,12.255446
254761.215351,1.303699,performance,resman,a_in_tolerance,1
254761.215388,1.303699,performance,resman,a_deviation,-10
254761.215463,1.303699,performance,resman,b_in_tolerance,1
254761.215498,1.303699,performance,resman,b_deviation,-10
254761.330491,1.420495,performance,sysmon,event_occured,0
254761.331208,1.420495,state,sysmon,scale1,5
254761.331266,1.420495,state,sysmon,scale2,5
254761.33131,1.420495,state,sysmon,scale3,5
254761.331353,1.420495,state,sysmon,scale4,5
254761.331449,1.420495,input,track,joystick_x,-0.5
254761.331509,1.420495,input,track,joystick_y,-7.75
254761.331558,1.420495,performance,track,joystick_x,-0.5
254761.331635,1.420495,performance,track,joystick_y,-7.75
254761.331694,1.420495,performance,track,cursor_in_target,1
254761.331735,1.420495,performance,track,center_deviation,19.080102
254761.332251,1.420495,performance,resman,a_in_tolerance,1
254761.332289,1.420495,performance,resman,a_deviation,-11
254761.332365,1.420495,performance,resman,b_in_tolerance,1
254761.332399,1.420495,performance,resman,b_deviation,-11
254761.430537,1.520542,performance,sysmon,event_occured,0
254761.431176,1.520542,state,sysmon,scale1,4
254761.431234,1.520542,state,sysmon,scale2,4
254761.431279,1.520542,state,sysmon,scale3,6
254761.431321,1.520542,state,sysmon,scale4,4
254761.431486,1.520542,input,track,joystick_x,0.0
254761.431544,1.520542,input,track,joystick_y,-7.5
254761.431594,1.520542,performance,track,joystick_x,0.0
254761.431629,1.520542,performance,track,joystick_y,-7.5
254761.431687,1.520542,performance,track,cursor_in_target,1
254761.431728,1.520542,performance,track,center_deviation,25.905173
254761.432222,1.520542,performance,resman,a_in_tolerance,1
254761.432258,1.520542,performance,resman,a_deviation,-12
254761.432333,1.520542,performance,resman,b_in_tolerance,1
254761.432366,1.520542,performance,resman,b_deviation,-12
254761.547097,1.637099,performance,sysmon,event_occured,0
254761.547764,1.637099,state,sysmon,scale1,3
254761.547822,1.637099,state,sysmon,scale2,3
254761.547961,1.637099,state,sysmon,scale3,5
254761.548029,1.637099,state,sysmon,scale4,5
254761.54813,1.637099,input,track,joystick_x,0.75
254761.548189,1.637099,input,track,joystick_y,-5.5
254761.548238,1.637099,performance,track,joystick_x,0.75
254761.548273,1.637099,performance,track,joystick_y,-5.5
254761.548332,1.637099,performance,track,cursor_in_target,1
254761.548375,1.637099,performance,track,center_deviation,32.505944
254761.548855,1.637099,performance,resman,a_in_tolerance,1
254761.548892,1.637099,performance,resman,a_deviation,-13
254761.548969,1.637099,performance,resman,b_in_tolerance,1
254761.549004,1.637099,performance,resman,b_deviation,-13
254761.647141,1.737144,performance,sysmon,event_occured,0
254761.647778,1.737144,state,sysmon,scale1,4
254761.647835,1.737144,state,sysmon,scale2,4
254761.647879,1.737144,state,sysmon,scale3,4
254761.647922,1.737144,state,sysmon,scale4,4
254761.648041,1.737144,input,track,joystick_x,0.5
254761.648102,1.737144,input,track,joystick_y,-2.5
254761.648152,1.737144,performance,track,joystick_x,0.5
254761.648186,1.737144,performance,track,joystick_y,-2.5
254761.648243,1.737144,performance,track,cursor_in_target,1
254761.648287,1.737144,performance,track,center_deviation,37.178164
254761.64876,1.737144,performance,resman,a_in_tolerance,1
254761.648797,1.737144,performance,resman,a_deviation,-14
254761.648871,1.737144,performance,resman,b_in_tolerance,1
254761.648905,1.737144,performance,resman,b_deviation,-14
254761.763769,1.853776,performance,sysmon,event_occured,0
254761.764463,1.853776,state,sysmon,scale1,5
254761.764519,1.853776,state,sysmon,scale2,5
254761.764565,1.853776,state,sysmon,scale3,5
254761.764607,1.853776,state,sysmon,scale4,5
254761.764702,1.853776,input,track,joystick_x,-2.25
254761.764759,1.853776,input,track,joystick_y,6.0
254761.764807,1.853776,performance,track,joystick_x,-2.25
254761.764841,1.853776,performance,track,joystick_y,6.0
254761.764897,1.853776,performance,track,cursor_in_target,1
254761.765018,1.853776,performance,track,center_deviation,38.875527
254761.765501,1.853776,performance,resman,a_in_tolerance,1
254761.765542,1.853776,performance,resman,a_deviation,-15
254761.76562,1.853776,performance,resman,b_in_tolerance,1
254761.765656,1.853776,performance,resman,b_deviation,-15
254761.863793,1.953794,performance,sysmon,event_occured,0
254761.864474,1.953794,state,sysmon,scale1,6
254761.864531,1.953794,state,sysmon,scale2,6
254761.864577,1.953794,state,sysmon,scale3,6
254761.86462,1.953794,state,sysmon,scale4,6
254761.864715,1.953794,input,track,joystick_x,-2.5
254761.864772,1.953794,input,track,joystick_y,6.25
254761.864822,1.953794,performance,track,joystick_x,-2.5
254761.864857,1.953794,performance,track,joystick_y,6.25
254761.864914,1.953794,performance,track,cursor_in_target,1
254761.864956,1.953794,performance,track,center_deviation,31.826068
254761.865429,1.953794,performance,resman,a_in_tolerance,1
254761.865467,1.953794,performance,resman,a_deviation,-16
254761.865541,1.953794,performance,resman,b_in_tolerance,1
254761.865575,1.953794,performance,resman,b_deviation,-16
254761.964275,2.0543,performance,sysmon,event_occured,0
254761.964916,2.0543,state,sysmon,scale1,5
254761.964972,2.0543,state,sysmon,scale2,5
254761.965018,2.0543,state,sysmon,scale3,5
254761.96506,2.0543,state,sysmon,scale4,5
254761.965157,2.0543,input,track,joystick_x,-2.5
254761.965217,2.0543,input,track,joystick_y,6.25
254761.965266,2.0543,performance,track,joystick_x,-2.5
254761.965301,2.0543,performance,track,joystick_y,6.25
254761.965358,2.0543,performance,track,cursor_in_target,1
254761.965401,2.0543,performance,track,center_deviation,24.531033
254761.965879,2.0543,performance,resman,a_in_tolerance,1
254761.965915,2.0543,performance,resman,a_deviation,-17
254761.96599,2.0543,performance,resman,b_in_tolerance,1
254761.966025,2.0543,performance,resman,b_deviation,-17
254762.080351,2.170376,performance,sysmon,event_occured,0
254762.080993,2.170376,state,sysmon,scale1,6
254762.08105,2.170376,state,sysmon,scale2,4
254762.081095,2.170376,state,sysmon,scale3,6
254762.081137,2.170376,state,sysmon,scale4,6
254762.081232,2.170376,input,track,joystick_x,-2.5
254762.081289,2.170376,input,track,joystick_y,6.25
254762.081337,2.170376,performance,track,joystick_x,-2.5
254762.081372,2.170376,performance,track,joystick_y,6.25
254762.081427,2.170376,performance,track,cursor_in_target,1
254762.081471,2.170376,performance,track,center_deviation,17.310871
254762.081948,2.170376,performance,resman,a_in_tolerance,1
254762.081985,2.170376,performance,resman,a_deviation,-18
254762.082059,2.170376,performance,resman,b_in_tolerance,1
254762.082094,2.170376,performance,resman,b_deviation,-18
254762.196898,2.286908,performance,sysmon,event_occured,0
254762.197566,2.286908,state,sysmon,scale1,5
254762.19762,2.286908,state,sysmon,scale2,3
254762.197666,2.286908,state,sysmon,scale3,7
254762.197707,2.286908,state,sysmon,scale4,5
254762.197802,2.286908,input,track,joystick_x,-2.0
254762.197861,2.286908,input,track,joystick_y,4.75
254762.197911,2.286908,performance,track,joystick_x,-2.0
254762.197946,2.286908,performance,track,joystick_y,4.75
254762.198015,2.286908,performance,track,cursor_in_target,1
254762.198058,2.286908,performance,track,center_deviation,10.322838
254762.198542,2.286908,performance,resman,a_in_tolerance,1
254762.198581,2.286908,performance,resman,a_deviation,-19
254762.198728,2.286908,performance,resman,b_in_tolerance,1
254762.198764,2.286908,performance,resman,b_deviation,-19
254762.297233,2.387212,performance,sysmon,event_occured,0
254762.297938,2.387212,state,sysmon,scale1,6
254762.297997,2.387212,state,sysmon,scale2,4
254762.298048,2.387212,state,sysmon,scale3,6
254762.298092,2.387212,state,sysmon,scale4,6
254762.298199,2.387212,input,track,joystick_x,-1.5
254762.298262,2.387212,input,track,joystick_y,3.5
254762.298313,2.387212,performance,track,joystick_x,-1.5
254762.298348,2.387212,performance,track,joystick_y,3.5
254762.298409,2.387212,performance,track,cursor_in_target,1
254762.298452,2.387212,performance,track,center_deviation,5.486438
254762.298956,2.387212,performance,resman,a_in_tolerance,1
254762.298994,2.387212,performance,resman,a_deviation,-20
254762.29907,2.387212,performance,resman,b_in_tolerance,1
254762.299105,2.387212,performance,resman,b_deviation,-20
254762.413675,2.503637,performance,sysmon,event_occured,0
254762.414372,2.503637,state,sysmon,scale1,5
254762.414428,2.503637,state,sysmon,scale2,5
254762.414473,2.503637,state,sysmon,scale3,7
254762.414515,2.503637,state,sysmon,scale4,7
254762.414609,2.503637,input,track,joystick_x,-1.5
254762.41467,2.503637,input,track,joystick_y,3.5
254762.41472,2.503637,performance,track,joystick_x,-1.5
254762.414755,2.503637,performance,track,joystick_y,3.5
254762.41481,2.503637,performance,track,cursor_in_target,1
