joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_HIT,signal_detection_MISS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,0,0,1,0,0
0.0,-6.0,1.394005,1,1,-8,1,-8,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0
0.0,-6.0,3.754778,1,1,-9,1,-9,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
0.0,-6.0,8.879337,1,1,-10,1,-10,0,0,0,0,0,0,0,0,3,5,5,3,0,0,1,0,0
0.0,-6.0,14.006648,1,1,-11,1,-11,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
-0.5,-6.0,19.134796,1,1,-12,1,-12,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,0,0
-0.75,-3.5,24.188643,1,1,-13,1,-13,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
-1.25,-1.25,26.739522,1,1,-14,1,-14,0,0,0,0,0,0,0,0,5,5,7,5,0,0,1,0,0
-1.25,-0.75,27.002257,1,1,-15,1,-15,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
-1.75,1.75,26.777073,1,1,-16,1,-16,0,0,0,0,0,0,0,0,5,3,7,5,0,0,1,0,0
-1.75,1.75,24.03196,1,1,-17,1,-17,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
-1.75,1.75,21.315013,1,1,-18,1,-18,0,0,0,0,0,0,0,0,5,5,7,5,0,0,1,0,0
-1.75,1.75,18.638383,1,1,-19,1,-19,0,0,0,0,0,0,0,0,6,6,6,4,0,0,1,0,0
-1.75,1.75,16.022071,1,1,-20,1,-20,0,0,0,0,0,0,0,0,7,5,5,3,0,0,1,0,0
-1.75,1.75,13.500911,1,1,-21,1,-21,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
-1.75,1.75,11.139334,1,1,-22,1,-22,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0
-1.75,1.75,9.062483,1,1,-23,1,-23,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0
-1.75,1.75,7.509792,1,1,-24,1,-24,0,0,0,0,0,0,0,0,7,3,5,3,0,0,1,0,0
-1.75,1.75,6.846906,1,1,-25,1,-25,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
-1.75,1.75,7.318999,1,1,-26,1,-26,0,0,0,0,0,0,0,0,7,3,5,5,0,0,1,0,0
-1.75,1.75,8.743513,1,1,-27,1,-27,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
-1.75,1.75,10.747676,1,1,-28,1,-28,0,0,0,0,0,0,0,0,7,5,3,5,0,0,1,0,0
-1.75,1.75,13.066995,1,1,-29,1,-29,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
-1.75,1.75,15.560784,1,1,-30,1,-30,0,0,0,0,0,0,0,0,5,3,5,5,0,0,1,0,0
-1.75,1.75,18.156939,1,1,-31,1,-31,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
-1.75,1.75,20.816869,1,1,-32,1,-32,0,0,0,0,0,0,0,0,7,3,5,5,0,0,1,0,0
-1.75,1.75,23.518645,1,1,-33,1,-33,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0
-1.75,1.75,26.249071,1,1,-34,1,-34,0,0,0,0,0,0,0,0,5,5,7,5,0,0,1,0,0
-1.75,1.75,28.999793,1,1,-35,1,-35,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
-1.75,1.75,31.765291,1,1,-36,1,-36,0,0,0,0,0,0,0,0,3,5,7,3,0,0,1,0,0
-1.75,1.75,34.54178,1,1,-37,1,-37,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
-1.75,1.75,37.326583,1,1,-38,1,-38,0,0,0,0,0,0,0,0,3,5,7,5,0,0,1,0,0
-1.75,1.75,40.117753,1,1,-39,1,-39,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0
-1.75,1.75,42.913838,1,1,-40,1,-40,0,0,0,0,0,0,0,0,3,7,7,5,0,0,1,0,0
