logtime,scenario_time,type_attribute,module,address,value
220098.462213,1.021182,performance,sysmon,event_occured,0
220098.462351,1.021182,performance,sysmon,response_time,0
220098.462915,1.021182,state,sysmon,scale1,6
220098.462971,1.021182,state,sysmon,scale2,4
220098.463017,1.021182,state,sysmon,scale3,6
220098.463059,1.021182,state,sysmon,scale4,4
220098.512176,1.071163,performance,resman,a_in_tolerance,1
220098.512224,1.071163,performance,resman,a_deviation,-8
220098.512304,1.071163,performance,resman,b_in_tolerance,1
220098.512339,1.071163,performance,resman,b_deviation,-8
220098.545605,1.10445,input,track,joystick_x,0
220098.545786,1.10445,input,track,joystick_y,0
220098.545838,1.10445,performance,track,joystick_x,0
220098.545872,1.10445,performance,track,joystick_y,0
220098.545938,1.10445,performance,track,cursor_in_target,1
220098.545981,1.10445,performance,track,center_deviation,1.394005
220098.57874,1.137681,performance,sysmon,event_occured,0
220098.578944,1.137681,performance,sysmon,response_time,0
220098.579736,1.137681,state,sysmon,scale1,5
220098.579816,1.137681,state,sysmon,scale2,5
220098.579885,1.137681,state,sysmon,scale3,7
220098.579946,1.137681,state,sysmon,scale4,3
220098.627973,1.18708,performance,resman,a_in_tolerance,1
220098.62805,1.18708,performance,resman,a_deviation,-9
220098.628127,1.18708,performance,resman,b_in_tolerance,1
220098.62816,1.18708,performance,resman,b_deviation,-9
220098.645976,1.204829,input,track,joystick_x,0
220098.646163,1.204829,input,track,joystick_y,0
220098.646211,1.204829,performance,track,joystick_x,0
220098.646244,1.204829,performance,track,joystick_y,0
220098.646304,1.204829,performance,track,cursor_in_target,1
220098.646343,1.204829,performance,track,center_deviation,2.450629
220098.678801,1.237729,performance,sysmon,event_occured,0
220098.678978,1.237729,performance,sysmon,response_time,0
220098.679531,1.237729,state,sysmon,scale1,4
220098.679591,1.237729,state,sysmon,scale2,6
220098.679637,1.237729,state,sysmon,scale3,6
220098.679679,1.237729,state,sysmon,scale4,4
220098.728836,1.287872,performance,resman,a_in_tolerance,1
220098.728881,1.287872,performance,resman,a_deviation,-10
220098.728962,1.287872,performance,resman,b_in_tolerance,1
220098.728999,1.287872,performance,resman,b_deviation,-10
220098.762102,1.320967,input,track,joystick_x,0
220098.762272,1.320967,input,track,joystick_y,0
220098.762325,1.320967,performance,track,joystick_x,0
220098.76236,1.320967,performance,track,joystick_y,0
220098.762444,1.320967,performance,track,cursor_in_target,1
220098.762484,1.320967,performance,track,center_deviation,3.60659
220098.795436,1.354386,performance,sysmon,event_occured,0
220098.795588,1.354386,performance,sysmon,response_time,0
220098.796189,1.354386,state,sysmon,scale1,3
220098.796244,1.354386,state,sysmon,scale2,5
220098.796289,1.354386,state,sysmon,scale3,7
220098.796331,1.354386,state,sysmon,scale4,3
220098.845216,1.404282,performance,resman,a_in_tolerance,1
220098.845264,1.404282,performance,resman,a_deviation,-11
220098.845343,1.404282,performance,resman,b_in_tolerance,1
220098.845378,1.404282,performance,resman,b_deviation,-11
220098.862308,1.421149,input,track,joystick_x,0
220098.862497,1.421149,input,track,joystick_y,0
220098.86255,1.421149,performance,track,joystick_x,0
220098.862584,1.421149,performance,track,joystick_y,0
220098.8628,1.421149,performance,track,cursor_in_target,1
220098.862873,1.421149,performance,track,center_deviation,4.79018
220098.912118,1.47103,performance,sysmon,event_occured,0
220098.912267,1.47103,performance,sysmon,response_time,0
220098.913023,1.47103,state,sysmon,scale1,4
220098.913113,1.47103,state,sysmon,scale2,4
220098.913178,1.47103,state,sysmon,scale3,6
220098.913224,1.47103,state,sysmon,scale4,4
220098.945382,1.504394,performance,resman,a_in_tolerance,1
220098.945429,1.504394,performance,resman,a_deviation,-12
220098.945506,1.504394,performance,resman,b_in_tolerance,1
220098.945541,1.504394,performance,resman,b_deviation,-12
220098.97774,1.536788,input,track,joystick_x,0
220098.97785,1.536788,input,track,joystick_y,0
220098.9779,1.536788,performance,track,joystick_x,0
220098.977933,1.536788,performance,track,joystick_y,0
220098.977994,1.536788,performance,track,cursor_in_target,1
220098.978034,1.536788,performance,track,center_deviation,5.984735
220099.012344,1.571265,performance,sysmon,event_occured,0
220099.012528,1.571265,performance,sysmon,response_time,0
220099.013161,1.571265,state,sysmon,scale1,5
220099.013226,1.571265,state,sysmon,scale2,5
220099.013277,1.571265,state,sysmon,scale3,7
220099.013326,1.571265,state,sysmon,scale4,5
220099.045966,1.605015,performance,resman,a_in_tolerance,1
220099.046012,1.605015,performance,resman,a_deviation,-13
220099.046095,1.605015,performance,resman,b_in_tolerance,1
220099.046131,1.605015,performance,resman,b_deviation,-13
220099.078788,1.637577,input,track,joystick_x,0
220099.078968,1.637577,input,track,joystick_y,0
220099.079023,1.637577,performance,track,joystick_x,0
220099.079058,1.637577,performance,track,joystick_y,0
220099.079118,1.637577,performance,track,cursor_in_target,1
220099.07916,1.637577,performance,track,center_deviation,7.184518
220099.12889,1.687837,performance,sysmon,event_occured,0
220099.129053,1.687837,performance,sysmon,response_time,0
220099.129631,1.687837,state,sysmon,scale1,6
220099.12969,1.687837,state,sysmon,scale2,6
220099.129735,1.687837,state,sysmon,scale3,6
220099.129777,1.687837,state,sysmon,scale4,4
220099.161932,1.720981,performance,resman,a_in_tolerance,1
220099.161977,1.720981,performance,resman,a_deviation,-14
220099.162059,1.720981,performance,resman,b_in_tolerance,1
220099.162093,1.720981,performance,resman,b_deviation,-14
220099.178874,1.737706,input,track,joystick_x,0
220099.179061,1.737706,input,track,joystick_y,0
220099.179111,1.737706,performance,track,joystick_x,0
220099.179145,1.737706,performance,track,joystick_y,0
220099.179209,1.737706,performance,track,cursor_in_target,1
220099.179249,1.737706,performance,track,center_deviation,8.387032
220099.245456,1.804411,performance,sysmon,event_occured,0
220099.245607,1.804411,performance,sysmon,response_time,0
220099.246459,1.804411,state,sysmon,scale1,5
220099.246514,1.804411,state,sysmon,scale2,5
220099.246559,1.804411,state,sysmon,scale3,5
220099.246602,1.804411,state,sysmon,scale4,3
220099.26198,1.821043,performance,resman,a_in_tolerance,1
220099.262027,1.821043,performance,resman,a_deviation,-15
220099.262109,1.821043,performance,resman,b_in_tolerance,1
220099.262144,1.821043,performance,resman,b_deviation,-15
220099.278909,1.837728,input,track,joystick_x,0
220099.279089,1.837728,input,track,joystick_y,0
220099.27914,1.837728,performance,track,joystick_x,0
220099.279178,1.837728,performance,track,joystick_y,0
220099.279241,1.837728,performance,track,cursor_in_target,1
220099.279288,1.837728,performance,track,center_deviation,9.591007
220099.36205,1.920994,performance,sysmon,event_occured,0
220099.362208,1.920994,performance,sysmon,response_time,0
220099.36277,1.920994,state,sysmon,scale1,6
220099.362823,1.920994,state,sysmon,scale2,4
220099.362868,1.920994,state,sysmon,scale3,6
220099.362909,1.920994,state,sysmon,scale4,4
220099.378603,1.937653,performance,resman,a_in_tolerance,1
220099.378652,1.937653,performance,resman,a_deviation,-16
220099.378731,1.937653,performance,resman,b_in_tolerance,1
220099.378769,1.937653,performance,resman,b_deviation,-16
220099.395507,1.954364,input,track,joystick_x,0
