logtime,scenario_time,type,module,address,value
221296.893123,0,scenario_path,,,includes/scenarios/scenario_medium_1.txt
221296.895193,0,version,,,1.3.0
221298.02255,0,dialog,,,OpenMATB end
221298.036149,0.016629,event,sysmon,feedbacks-positive-color,"(0, 255, 0, 255)"
221298.522209,0.016629,dialog,,,Warning end
221298.522562,0.033798,event,sysmon,feedbacks-negative-color,"(255, 0, 0, 255)"
221298.538829,0.050053,event,track,cursorcolor,"(0, 153, 0, 255)"
221298.557008,0.066609,aoi,resman,foreground,"(576, 486.0, 1632, 0.0)"
221298.557978,0.066609,aoi,resman,overdue,"(576, 486.0, 1632, 0.0)"
221298.57708,0.066609,aoi,resman,task_title,"(576, 540.0, 1632, 486.0)"
221298.578442,0.066609,aoi,resman,automode,"(1006.848, 309.15000000000003, 1165.248, 282.15000000000003)"
221298.579494,0.066609,aoi,resman,status_foreground,"(1632, 486.0, 1920, 0.0)"
221298.583953,0.066609,aoi,resman,status_title,"(1632, 540.0, 1920, 486.0)"
221298.610145,0.066609,aoi,resman,pump_1_flow,"(1632, 486.0, 1920, 432.0)"
221298.61342,0.066609,aoi,resman,pump_2_flow,"(1632, 432.00000000000006, 1920, 378.00000000000006)"
221298.616361,0.066609,aoi,resman,pump_3_flow,"(1632, 378.00000000000006, 1920, 324.00000000000006)"
221298.61859,0.066609,aoi,resman,pump_4_flow,"(1632, 324.0, 1920, 270.0)"
221298.620786,0.066609,aoi,resman,pump_5_flow,"(1632, 270.0, 1920, 216.0)"
221298.623332,0.066609,aoi,resman,pump_6_flow,"(1632, 216.00000000000003, 1920, 162.00000000000003)"
221298.625071,0.066609,aoi,resman,pump_7_flow,"(1632, 161.99999999999997, 1920, 107.99999999999997)"
221298.626793,0.066609,aoi,resman,pump_8_flow,"(1632, 107.99999999999999, 1920, 53.999999999999986)"
221298.628925,0.066609,aoi,resman,tank_a,"(723.84, 437.4, 882.24, 267.3)"
221298.630799,0.066609,aoi,resman,tank_b,"(1251.8400000000001, 437.4, 1410.2400000000002, 267.3)"
